"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"W10087993_tlh","love","love",1,"Read","affection","Study1","F","Study Phase",2407,"Recall1","USM"
"W10113617_mr","love","love",1,"Read","affection","Study1","F","Study Phase",1466,"Recall1","USM"
"W10124981_NW","love","love",1,"Read","affection","Study1","F","Study Phase",958,"Recall1","USM"
"W10126357_MJ","","love",1,"Read","affection","Study1","F","Study Phase",1256,"Recall1","USM"
"w10128846_klm","love","love",1,"Read","affection","Study1","F","Study Phase",1200,"Recall1","USM"
"W10129579_es","love","love",1,"Read","affection","Study1","F","Study Phase",988,"Recall1","USM"
"w10132784ANG","hug","love",1,"Read","affection","Study1","F","Study Phase",686,"Recall1","USM"
"W10133649_mjh","love","love",1,"Read","affection","Study1","F","Study Phase",974,"Recall1","USM"
"w10136516_mld","love","love",1,"Read","affection","Study1","F","Study Phase",1446,"Recall1","USM"
"w10153319HLP","","love",1,"Read","affection","Study1","F","Study Phase",884,"Recall1","USM"
"w10154153_CLJ","love","love",1,"Read","affection","Study1","F","Study Phase",1152,"Recall1","USM"
"w10157807CA","love","love",1,"Read","affection","Study1","F","Study Phase",970,"Recall1","USM"
"w10162363_DMF","","love",1,"Read","affection","Study1","F","Study Phase",661,"Recall1","USM"
"w10166559CB","attention","love",1,"Read","affection","Study1","F","Study Phase",317,"Recall1","USM"
"w10193139SS","love","love",1,"Read","affection","Study1","F","Study Phase",1588,"Recall1","USM"
"w10199898","love","love",1,"Read","affection","Study1","F","Study Phase",1216,"Recall1","USM"
"W10087993_tlh","take","jump",1,"Read","bat","Study1","M","Study Phase",2000,"Recall1","USM"
"W10113617_mr","cave","jump",1,"Read","bat","Study1","M","Study Phase",742,"Recall1","USM"
"W10124981_NW","lid","jump",1,"Read","bat","Study1","M","Study Phase",922,"Recall1","USM"
"W10126357_MJ","","jump",1,"Read","bat","Study1","M","Study Phase",1713,"Recall1","USM"
"w10128846_klm","ball","jump",1,"Read","bat","Study1","M","Study Phase",1129,"Recall1","USM"
"W10129579_es","cow","jump",1,"Read","bat","Study1","M","Study Phase",996,"Recall1","USM"
"w10132784ANG","animal","jump",1,"Read","bat","Study1","M","Study Phase",570,"Recall1","USM"
"W10133649_mjh","","jump",1,"Read","bat","Study1","M","Study Phase",1370,"Recall1","USM"
"w10136516_mld","ball","jump",1,"Read","bat","Study1","M","Study Phase",2015,"Recall1","USM"
"w10153319HLP","","jump",1,"Read","bat","Study1","M","Study Phase",446,"Recall1","USM"
"w10154153_CLJ","ball","jump",1,"Read","bat","Study1","M","Study Phase",1468,"Recall1","USM"
"w10157807CA","","jump",1,"Read","bat","Study1","M","Study Phase",486,"Recall1","USM"
