"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"M20344836","love","love",1,"Read","affection","Study1","F","Study Phase",10132,"Recall1"
"w10026560_jms","","love",1,"Read","affection","Study1","F","Study Phase",1543,"Recall1"
"w10053855_KS","love","love",1,"Read","affection","Study1","F","Study Phase",1929,"Recall1"
"w10062138_leh","love","love",1,"Read","affection","Study1","F","Study Phase",2431,"Recall1"
"w10066488_jrg","attention","love",1,"Read","affection","Study1","F","Study Phase",1444,"Recall1"
"w10066536_jgd","love ","love",1,"Read","affection","Study1","F","Study Phase",3235,"Recall1"
"w10100791MF","love","love",1,"Read","affection","Study1","F","Study Phase",1068,"Recall1"
"w10108756_stb","love","love",1,"Read","affection","Study1","F","Study Phase",1273,"Recall1"
"w10115108MN","love","love",1,"Read","affection","Study1","F","Study Phase",1072,"Recall1"
"w10151114_rew","care","love",1,"Read","affection","Study1","F","Study Phase",433,"Recall1"
"w10158052HC","love","love",1,"Read","affection","Study1","F","Study Phase",970,"Recall1"
"w10159057_afm","dry","love",1,"Read","affection","Study1","F","Study Phase",973,"Recall1"
"w10159588_dpw","love","love",1,"Read","affection","Study1","F","Study Phase",3279,"Recall1"
"w10164930","love","love",1,"Read","affection","Study1","F","Study Phase",1569,"Recall1"
"w10168222_jk","love","love",1,"Read","affection","Study1","F","Study Phase",1573,"Recall1"
"w10173850","love","love",1,"Read","affection","Study1","F","Study Phase",37,"Recall1"
"w958179","","love",1,"Read","affection","Study1","F","Study Phase",2673,"Recall1"
"M20344836","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",5535,"Recall1"
"w10026560_jms","","bounce",1,"Read","bat","Study1","M","Study Phase",917,"Recall1"
"w10053855_KS","glove","bounce",1,"Read","bat","Study1","M","Study Phase",1017,"Recall1"
"w10062138_leh","tap","bounce",1,"Read","bat","Study1","M","Study Phase",5059,"Recall1"
"w10066488_jrg","man","bounce",1,"Read","bat","Study1","M","Study Phase",1516,"Recall1"
"w10066536_jgd","base ","bounce",1,"Read","bat","Study1","M","Study Phase",1818,"Recall1"
"w10100791MF","","bounce",1,"Read","bat","Study1","M","Study Phase",1901,"Recall1"
"w10108756_stb","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1118,"Recall1"
"w10115108MN","","bounce",1,"Read","bat","Study1","M","Study Phase",1068,"Recall1"
"w10151114_rew","man","bounce",1,"Read","bat","Study1","M","Study Phase",409,"Recall1"
"w10158052HC","man","bounce",1,"Read","bat","Study1","M","Study Phase",1131,"Recall1"
"w10159057_afm","moon","bounce",1,"Read","bat","Study1","M","Study Phase",1132,"Recall1"
"w10159588_dpw","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",3305,"Recall1"
"w10164930","","bounce",1,"Read","bat","Study1","M","Study Phase",3745,"Recall1"
"w10168222_jk","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",9990,"Recall1"
"w10173850","wing","bounce",1,"Read","bat","Study1","M","Study Phase",332,"Recall1"
"w958179","","bounce",1,"Read","bat","Study1","M","Study Phase",1584,"Recall1"
"M20344836","box","box",1,"Read","beach","Study1","M","Study Phase",5508,"Recall1"
"w10026560_jms","box","box",1,"Read","beach","Study1","M","Study Phase",919,"Recall1"
"w10053855_KS","","box",1,"Read","beach","Study1","M","Study Phase",5098,"Recall1"
"w10062138_leh","band","box",1,"Read","beach","Study1","M","Study Phase",2323,"Recall1"
"w10066488_jrg","sand","box",1,"Read","beach","Study1","M","Study Phase",1212,"Recall1"
"w10066536_jgd","sand","box",1,"Read","beach","Study1","M","Study Phase",1784,"Recall1"
