"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1"
"10111256JA","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",9168,80,"Recall1"
"w10042447_keo","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2088,89,"Recall1"
"w10129023_aft","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2587,80,"Recall1"
"w10132704","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",4677,60,"Recall1"
"w10139977_abt","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",13618,90,"Recall1"
"w10140071lj","","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2619,100,"Recall1"
"w10140542KB","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2799,30,"Recall1"
"w10142718_ec","Love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2081,100,"Recall1"
"w10153807_MLP","Love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",6647,64,"Recall1"
"w10157774HB","Love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2973,45,"Recall1"
"w10164530_bam","","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",274,0,"Recall1"
"W10172829OA","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",3990,50,"Recall1"
"w10172909kbk","Love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",2845,99,"Recall1"
"W10174596_jw","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",3809,100,"Recall1"
"w985404_djb","love","LOVE",2,"JOL","AFFECTION","Study1","F","Study Phase",3419,100,"Recall1"
"10111256JA","swing","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",3108,40,"Recall1"
"w10042447_keo","bird","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",2298,20,"Recall1"
"w10129023_aft","boom","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",3935,10,"Recall1"
"w10132704","","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",2512,20,"Recall1"
"w10139977_abt","ball","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",7656,50,"Recall1"
"w10140071lj","","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",3472,18,"Recall1"
"w10140542KB","echo","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",2330,0,"Recall1"
"w10142718_ec","Bounce","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",4646,25,"Recall1"
"w10153807_MLP","mobile","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",4413,56,"Recall1"
"w10157774HB","Ball","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",4602,3,"Recall1"
"w10164530_bam","","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",303,0,"Recall1"
"W10172829OA","bounce","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",3319,10,"Recall1"
"w10172909kbk","Bird","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",60791,70,"Recall1"
"W10174596_jw","bounce","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",4633,19,"Recall1"
"w985404_djb","grass","BOUNCE",2,"JOL","BAT","Study1","M","Study Phase",9984,55,"Recall1"
"10111256JA","","BOX",2,"JOL","BEACH","Study1","M","Study Phase",1967,50,"Recall1"
"w10042447_keo","water","BOX",2,"JOL","BEACH","Study1","M","Study Phase",3057,30,"Recall1"
"w10129023_aft","box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",4986,90,"Recall1"
"w10132704","","BOX",2,"JOL","BEACH","Study1","M","Study Phase",3293,35,"Recall1"
"w10139977_abt","box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",5006,25,"Recall1"
"w10140071lj","","BOX",2,"JOL","BEACH","Study1","M","Study Phase",1292,33,"Recall1"
"w10140542KB","sand","BOX",2,"JOL","BEACH","Study1","M","Study Phase",2174,0,"Recall1"
"w10142718_ec","Box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",1720,5,"Recall1"
"w10153807_MLP","Bath","BOX",2,"JOL","BEACH","Study1","M","Study Phase",3350,9,"Recall1"
"w10157774HB","Box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",2534,34,"Recall1"
"w10164530_bam","beach","BOX",2,"JOL","BEACH","Study1","M","Study Phase",178,0,"Recall1"
"W10172829OA","box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",4087,20,"Recall1"
"w10172909kbk","Box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",5890,90,"Recall1"
"W10174596_jw","box","BOX",2,"JOL","BEACH","Study1","M","Study Phase",5386,89,"Recall1"
"w985404_djb","sun","BOX",2,"JOL","BEACH","Study1","M","Study Phase",2259,70,"Recall1"
"10111256JA","cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",2270,60,"Recall1"
"w10042447_keo","cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",2980,59,"Recall1"
"w10129023_aft","pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",4638,35,"Recall1"
"w10132704","hand","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",7246,58,"Recall1"
"w10139977_abt","cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",4017,35,"Recall1"
"w10140071lj","cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",1583,33,"Recall1"
"w10140542KB","cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",2246,10,"Recall1"
"w10142718_ec","Pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",3522,15,"Recall1"
"w10153807_MLP","hand","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",8657,1,"Recall1"
"w10157774HB","Cake","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",1824,23,"Recall1"
"w10164530_bam","","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",212,NA,"Recall1"
"W10172829OA","pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",3716,70,"Recall1"
"w10172909kbk","Pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",5265,80,"Recall1"
"W10174596_jw","pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",4356,55,"Recall1"
"w985404_djb","pie","PIE",2,"JOL","BIRTHDAY","Study1","M","Study Phase",4582,67,"Recall1"
"10111256JA","ball","HAND",2,"JOL","CAKE","Study1","U","Study Phase",1561,30,"Recall1"
"w10042447_keo","election","HAND",2,"JOL","CAKE","Study1","U","Study Phase",3559,20,"Recall1"
"w10129023_aft","hand","HAND",2,"JOL","CAKE","Study1","U","Study Phase",3668,5,"Recall1"
"w10132704","","HAND",2,"JOL","CAKE","Study1","U","Study Phase",2197,2,"Recall1"
"w10139977_abt","birthday","HAND",2,"JOL","CAKE","Study1","U","Study Phase",6590,0,"Recall1"
"w10140071lj","","HAND",2,"JOL","CAKE","Study1","U","Study Phase",1136,33,"Recall1"
"w10140542KB","birthday","HAND",2,"JOL","CAKE","Study1","U","Study Phase",1825,0,"Recall1"
"w10142718_ec","Birthday","HAND",2,"JOL","CAKE","Study1","U","Study Phase",1663,5,"Recall1"
"w10153807_MLP","Hand","HAND",2,"JOL","CAKE","Study1","U","Study Phase",5974,7,"Recall1"
"w10157774HB","Birthday","HAND",2,"JOL","CAKE","Study1","U","Study Phase",3237,12,"Recall1"
"w10164530_bam","","HAND",2,"JOL","CAKE","Study1","U","Study Phase",206,0,"Recall1"
"W10172829OA","","HAND",2,"JOL","CAKE","Study1","U","Study Phase",4463,10,"Recall1"
"w10172909kbk","","HAND",2,"JOL","CAKE","Study1","U","Study Phase",10524,100,"Recall1"
"W10174596_jw","hand","HAND",2,"JOL","CAKE","Study1","U","Study Phase",4924,34,"Recall1"
"w985404_djb","pie","HAND",2,"JOL","CAKE","Study1","U","Study Phase",1864,77,"Recall1"
"10111256JA","fan","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",1394,40,"Recall1"
"w10042447_keo","wall","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",12562,15,"Recall1"
"w10129023_aft","floor","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",5832,75,"Recall1"
"w10132704","","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2157,0,"Recall1"
"w10139977_abt","floor","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",3589,10,"Recall1"
"w10140071lj","","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2203,33,"Recall1"
"w10140542KB","carpet","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2173,0,"Recall1"
"w10142718_ec","Fan","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2851,5,"Recall1"
"w10153807_MLP","Carpet","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",9870,8,"Recall1"
"w10157774HB","Floor/Rug","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2454,23,"Recall1"
"w10164530_bam","","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",562,0,"Recall1"
"W10172829OA","carpet","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",4864,5,"Recall1"
"w10172909kbk","","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",3950,70,"Recall1"
"W10174596_jw","carpet","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",3974,20,"Recall1"
"w985404_djb","wall","CARPET",2,"JOL","CEILING","Study1","M","Study Phase",2124,87,"Recall1"
"10111256JA","round","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2440,50,"Recall1"
"w10042447_keo","sqaure","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",4309,30,"Recall1"
"w10129023_aft","dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",5212,75,"Recall1"
"w10132704","","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",1892,5,"Recall1"
"w10139977_abt","round","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2736,50,"Recall1"
"w10140071lj","","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2567,36,"Recall1"
"w10140542KB","dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2976,40,"Recall1"
"w10142718_ec","Shape","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2213,50,"Recall1"
"w10153807_MLP","Dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",7998,53,"Recall1"
"w10157774HB","Dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2475,12,"Recall1"
"w10164530_bam","d","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",287,NA,"Recall1"
"W10172829OA","dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",3672,50,"Recall1"
"w10172909kbk","","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",3238,80,"Recall1"
"W10174596_jw","dance","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",3444,23,"Recall1"
"w985404_djb","hard","DANCE",2,"JOL","CIRCLE","Study1","M","Study Phase",2982,34,"Recall1"
"10111256JA","","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",2676,60,"Recall1"
"w10042447_keo","pop","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",3719,3,"Recall1"
"w10129023_aft","laughter","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",3575,0,"Recall1"
"w10132704","pop","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",2843,5,"Recall1"
"w10139977_abt","electricity","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",3886,40,"Recall1"
"w10140071lj","","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",1722,22,"Recall1"
"w10140542KB","smackle","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",1974,0,"Recall1"
"w10142718_ec","pop","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",6423,1,"Recall1"
"w10153807_MLP","Laugh","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",2366,1,"Recall1"
"w10157774HB","Pop","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",1842,1,"Recall1"
"w10164530_bam","","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",290,0,"Recall1"
"W10172829OA","","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",3158,0,"Recall1"
"w10172909kbk","","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",2700,90,"Recall1"
"W10174596_jw","election","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",3134,3,"Recall1"
"w985404_djb","pop","ELECTION",2,"JOL","CRACKLE","Study1","U","Study Phase",2110,89,"Recall1"
"10111256JA","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",4216,40,"Recall1"
"w10042447_keo","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",40876,70,"Recall1"
"w10129023_aft","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2672,100,"Recall1"
"w10132704","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2431,100,"Recall1"
"w10139977_abt","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",3193,100,"Recall1"
"w10140071lj","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2902,100,"Recall1"
"w10140542KB","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",3641,100,"Recall1"
"w10142718_ec","Card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2675,100,"Recall1"
"w10153807_MLP","Card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",4674,98,"Recall1"
"w10157774HB","Card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2836,89,"Recall1"
"w10164530_bam","","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",403,0,"Recall1"
"W10172829OA","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",3601,100,"Recall1"
"w10172909kbk","","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",6858,60,"Recall1"
"W10174596_jw","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",3458,100,"Recall1"
"w985404_djb","card","CARD",2,"JOL","CREDIT","Study1","F","Study Phase",2589,89,"Recall1"
"10111256JA","","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",2033,60,"Recall1"
"w10042447_keo","sad","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",2668,20,"Recall1"
"w10129023_aft","bottle","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3154,100,"Recall1"
"w10132704","","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3794,45,"Recall1"
"w10139977_abt","happy","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3572,60,"Recall1"
"w10140071lj","","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3653,60,"Recall1"
"w10140542KB","bottle","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",1501,0,"Recall1"
"w10142718_ec","Loud","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",2927,55,"Recall1"
"w10153807_MLP","bottle","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",9608,82,"Recall1"
"w10157774HB","Bottle","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",4364,56,"Recall1"
"w10164530_bam","cry","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",219,0,"Recall1"
"W10172829OA","laugh","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3628,20,"Recall1"
"w10172909kbk","Love","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3594,70,"Recall1"
"W10174596_jw","bottle","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",3195,100,"Recall1"
"w985404_djb","sad","BOTTLE",2,"JOL","CRY","Study1","M","Study Phase",2517,55,"Recall1"
"10111256JA","night","DARK",2,"JOL","DAY","Study1","M","Study Phase",1592,20,"Recall1"
"w10042447_keo","year","DARK",2,"JOL","DAY","Study1","M","Study Phase",3091,40,"Recall1"
"w10129023_aft","weaks","DARK",2,"JOL","DAY","Study1","M","Study Phase",5320,99,"Recall1"
"w10132704","night","DARK",2,"JOL","DAY","Study1","M","Study Phase",3499,40,"Recall1"
"w10139977_abt","dark","DARK",2,"JOL","DAY","Study1","M","Study Phase",5104,10,"Recall1"
"w10140071lj","","DARK",2,"JOL","DAY","Study1","M","Study Phase",2315,33,"Recall1"
"w10140542KB","dark","DARK",2,"JOL","DAY","Study1","M","Study Phase",3267,0,"Recall1"
"w10142718_ec","Month","DARK",2,"JOL","DAY","Study1","M","Study Phase",10617,45,"Recall1"
"w10153807_MLP","Night","DARK",2,"JOL","DAY","Study1","M","Study Phase",4156,100,"Recall1"
"w10157774HB","Dark","DARK",2,"JOL","DAY","Study1","M","Study Phase",5689,67,"Recall1"
"w10164530_bam","","DARK",2,"JOL","DAY","Study1","M","Study Phase",195,NA,"Recall1"
"W10172829OA","dark","DARK",2,"JOL","DAY","Study1","M","Study Phase",4041,40,"Recall1"
"w10172909kbk","","DARK",2,"JOL","DAY","Study1","M","Study Phase",4834,70,"Recall1"
"W10174596_jw","night","DARK",2,"JOL","DAY","Study1","M","Study Phase",3346,90,"Recall1"
"w985404_djb","night","DARK",2,"JOL","DAY","Study1","M","Study Phase",2504,67,"Recall1"
"10111256JA","","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",1959,30,"Recall1"
"w10042447_keo","bear","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",6117,20,"Recall1"
"w10129023_aft","drink","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",2892,10,"Recall1"
"w10132704","","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",3684,35,"Recall1"
"w10139977_abt","","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",6676,5,"Recall1"
"w10140071lj","","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",1879,56,"Recall1"
"w10140542KB","soft","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",1487,0,"Recall1"
"w10142718_ec","Cake","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",2110,1,"Recall1"
"w10153807_MLP","Blanket","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",3662,0,"Recall1"
"w10157774HB","Bang","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",4105,45,"Recall1"
"w10164530_bam","d","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",202,NA,"Recall1"
"W10172829OA","soft","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",4985,10,"Recall1"
"w10172909kbk","","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",3639,80,"Recall1"
"W10174596_jw","socks","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",3425,2,"Recall1"
"w985404_djb","hard","BANG",2,"JOL","FUZZY","Study1","U","Study Phase",2881,99,"Recall1"
"10111256JA","","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",6578,30,"Recall1"
"w10042447_keo","love","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",2656,14,"Recall1"
"w10129023_aft","take","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",1965,0,"Recall1"
"w10132704","thanks","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",4721,65,"Recall1"
"w10139977_abt","get","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",4664,10,"Recall1"
"w10140071lj","take","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",1999,34,"Recall1"
"w10140542KB","forgive","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",7326,10,"Recall1"
"w10142718_ec","Chair","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",1559,1,"Recall1"
"w10153807_MLP","Receive","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",6284,29,"Recall1"
"w10157774HB","Got","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",2050,1,"Recall1"
"w10164530_bam","","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",174,NA,"Recall1"
"W10172829OA","take","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",10119,10,"Recall1"
"w10172909kbk","","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",2920,99,"Recall1"
"W10174596_jw","steak","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",2692,2,"Recall1"
"w985404_djb","take","STEAK",2,"JOL","GIVE","Study1","U","Study Phase",5704,89,"Recall1"
"10111256JA","","COTTON",2,"JOL","HARD","Study1","M","Study Phase",1406,20,"Recall1"
"w10042447_keo","quiet","COTTON",2,"JOL","HARD","Study1","M","Study Phase",3143,5,"Recall1"
"w10129023_aft","cotton","COTTON",2,"JOL","HARD","Study1","M","Study Phase",4073,75,"Recall1"
"w10132704","silk","COTTON",2,"JOL","HARD","Study1","M","Study Phase",2845,30,"Recall1"
"w10139977_abt","","COTTON",2,"JOL","HARD","Study1","M","Study Phase",5008,10,"Recall1"
"w10140071lj","easy","COTTON",2,"JOL","HARD","Study1","M","Study Phase",2709,33,"Recall1"
"w10140542KB","wood","COTTON",2,"JOL","HARD","Study1","M","Study Phase",3269,10,"Recall1"
"w10142718_ec","Cotton","COTTON",2,"JOL","HARD","Study1","M","Study Phase",1936,1,"Recall1"
"w10153807_MLP","Soft","COTTON",2,"JOL","HARD","Study1","M","Study Phase",2802,3,"Recall1"
"w10157774HB","Soft","COTTON",2,"JOL","HARD","Study1","M","Study Phase",3491,1,"Recall1"
"w10164530_bam","","COTTON",2,"JOL","HARD","Study1","M","Study Phase",295,0,"Recall1"
"W10172829OA","","COTTON",2,"JOL","HARD","Study1","M","Study Phase",5746,30,"Recall1"
"w10172909kbk","Hand","COTTON",2,"JOL","HARD","Study1","M","Study Phase",3001,80,"Recall1"
"W10174596_jw","cotton","COTTON",2,"JOL","HARD","Study1","M","Study Phase",3541,35,"Recall1"
"w985404_djb","soft","COTTON",2,"JOL","HARD","Study1","M","Study Phase",2620,45,"Recall1"
"10111256JA","","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",2147,20,"Recall1"
"w10042447_keo","wheel","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",4594,20,"Recall1"
"w10129023_aft","circle","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",7286,30,"Recall1"
"w10132704","","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",2732,20,"Recall1"
"w10139977_abt","hose","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",4874,15,"Recall1"
"w10140071lj","","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",1319,22,"Recall1"
"w10140542KB","saddle","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",3185,30,"Recall1"
"w10142718_ec","Stable","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",8065,45,"Recall1"
"w10153807_MLP","wheel","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",6096,23,"Recall1"
"w10157774HB","Donkey","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",2599,34,"Recall1"
"w10164530_bam","d","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",190,NA,"Recall1"
"W10172829OA","","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",3318,20,"Recall1"
"w10172909kbk","Donkey","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",6025,100,"Recall1"
"W10174596_jw","ride","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",3426,35,"Recall1"
"w985404_djb","brown","WHEEL",2,"JOL","HORSE","Study1","M","Study Phase",2503,23,"Recall1"
"10111256JA","","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2275,70,"Recall1"
"w10042447_keo","tooth","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2174,87,"Recall1"
"w10129023_aft","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",3858,99,"Recall1"
"w10132704","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",3421,80,"Recall1"
"w10139977_abt","face","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",8559,90,"Recall1"
"w10140071lj","","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2237,100,"Recall1"
"w10140542KB","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2969,20,"Recall1"
"w10142718_ec","Clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",5611,30,"Recall1"
"w10153807_MLP","Bath","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",6460,59,"Recall1"
"w10157774HB","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2493,89,"Recall1"
"w10164530_bam","d","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",196,NA,"Recall1"
"W10172829OA","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",3578,50,"Recall1"
"w10172909kbk","Clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",6589,100,"Recall1"
"W10174596_jw","clean ","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",3615,99,"Recall1"
"w985404_djb","clean","CLEAN",2,"JOL","HYGIENE","Study1","F","Study Phase",2654,99,"Recall1"
"10111256JA","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",4219,30,"Recall1"
"w10042447_keo","car","ROD",2,"JOL","KEYS","Study1","U","Study Phase",3167,15,"Recall1"
"w10129023_aft","meat","ROD",2,"JOL","KEYS","Study1","U","Study Phase",4287,25,"Recall1"
"w10132704","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",4363,12,"Recall1"
"w10139977_abt","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",3416,30,"Recall1"
"w10140071lj","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",1201,33,"Recall1"
"w10140542KB","rod","ROD",2,"JOL","KEYS","Study1","U","Study Phase",1705,0,"Recall1"
"w10142718_ec","Rod","ROD",2,"JOL","KEYS","Study1","U","Study Phase",2305,0,"Recall1"
"w10153807_MLP","Kill","ROD",2,"JOL","KEYS","Study1","U","Study Phase",6206,47,"Recall1"
"w10157774HB","Cake","ROD",2,"JOL","KEYS","Study1","U","Study Phase",4500,45,"Recall1"
"w10164530_bam","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",146,NA,"Recall1"
"W10172829OA","jingle","ROD",2,"JOL","KEYS","Study1","U","Study Phase",5828,10,"Recall1"
"w10172909kbk","","ROD",2,"JOL","KEYS","Study1","U","Study Phase",4109,60,"Recall1"
"W10174596_jw","car","ROD",2,"JOL","KEYS","Study1","U","Study Phase",3232,2,"Recall1"
"w985404_djb","home","ROD",2,"JOL","KEYS","Study1","U","Study Phase",6230,10,"Recall1"
"10111256JA","","STRIPES",2,"JOL","LION","Study1","M","Study Phase",1439,40,"Recall1"
"w10042447_keo","stripes","STRIPES",2,"JOL","LION","Study1","M","Study Phase",6931,40,"Recall1"
"w10129023_aft","stripes","STRIPES",2,"JOL","LION","Study1","M","Study Phase",5456,60,"Recall1"
