"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Procedure.Shuffle.1","Response.RT"
"w10158561PR","pie","hand","0",0,1,"Read","cake","Study1","U","Study Phase","Recall1",1991
"w10163667_kg","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase","Recall1",23292
"w10170329_cm","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase","Recall1",7484
"w10170428_RG","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase","Recall1",4812
"w10173870_tab","","hand","0",0,1,"Read","cake","Study1","U","Study Phase","Recall1",5611
"w10080067GH","ceiling","ceiling","1",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",2563
"w10086872RB","cleaner","ceiling","0.571428571428571",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",3999
"w10089688_jp","ceiling","ceiling","1",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",34366
"w10126861SES","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",143
"w10131605TS","ceiling","ceiling","1",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",9966
"w10134028","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",11816
"w10136835_VEH","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",1154
"w10137367_mpc","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",327
"w10139896_iro","floor","ceiling","0.142857142857143",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",2314
"w10141663MH","ceiling ","ceiling","0.875",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",4992
"w10142111_AGS","ceiling","ceiling","1",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",7968
"w10158214_AL","cleaner","ceiling","0.571428571428571",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",43638
"w10158561PR","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",2579
"w10163667_kg","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",1091
"w10170329_cm","floor","ceiling","0.142857142857143",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",3973
"w10170428_RG","ceiling","ceiling","1",1,1,"Read","carpet","Study1","M","Study Phase","Recall1",6864
"w10173870_tab","","ceiling","0",0,1,"Read","carpet","Study1","M","Study Phase","Recall1",1670
"w10080067GH","shit","hard","0.25",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",5746
"w10086872RB","candy","hard","0.4",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",4512
"w10089688_jp","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",4515
"w10126861SES","","hard","0",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",185
"w10131605TS","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",3779
"w10134028","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",2599
"w10136835_VEH","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",1895
"w10137367_mpc","","hard","0",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",364
"w10139896_iro","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",7420
"w10141663MH","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",4701
"w10142111_AGS","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",3626
"w10158214_AL","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",4889
"w10158561PR","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",1677
"w10163667_kg","hard","hard","1",1,1,"Read","cotton","Study1","M","Study Phase","Recall1",22315
"w10170329_cm","swab","hard","0.25",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",5081
"w10170428_RG","","hard","0",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",9886
"w10173870_tab","rough","hard","0.4",0,1,"Read","cotton","Study1","M","Study Phase","Recall1",4860
"w10080067GH","pop","election","0.125",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",1701
"w10086872RB","barrel","election","0.25",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",6905
"w10089688_jp","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase","Recall1",18281
"w10126861SES","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",366
"w10131605TS","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase","Recall1",16892
"w10134028","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",1132
"w10136835_VEH","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",1146
"w10137367_mpc","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",470
"w10139896_iro","fire","election","0.25",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",3695
"w10141663MH","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",7649
"w10142111_AGS","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase","Recall1",20866
"w10158214_AL","pop","election","0.125",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",5486
"w10158561PR","fire","election","0.25",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",5660
"w10163667_kg","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase","Recall1",19490
"w10170329_cm","pop","election","0.125",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",4818
"w10170428_RG","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",1830
"w10173870_tab","","election","0",0,1,"Read","crackle","Study1","U","Study Phase","Recall1",7999
"w10080067GH","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",1472
"w10086872RB","course ","card","0.285714285714286",0,1,"Read","credit","Study1","F","Study Phase","Recall1",29917
"w10089688_jp","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",2613
"w10126861SES","","card","0",0,1,"Read","credit","Study1","F","Study Phase","Recall1",309
"w10131605TS","score","card","0.4",0,1,"Read","credit","Study1","F","Study Phase","Recall1",5739
"w10134028","","card","0",0,1,"Read","credit","Study1","F","Study Phase","Recall1",1786
"w10136835_VEH","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",1744
"w10137367_mpc","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",12836
"w10139896_iro","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",1748
"w10141663MH","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",3045
"w10142111_AGS","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",2875
"w10158214_AL","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",3482
"w10158561PR","","card","0",0,1,"Read","credit","Study1","F","Study Phase","Recall1",1315
"w10163667_kg","","card","0",0,1,"Read","credit","Study1","F","Study Phase","Recall1",2098
"w10170329_cm","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",4854
"w10170428_RG","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",2450
"w10173870_tab","card","card","1",1,1,"Read","credit","Study1","F","Study Phase","Recall1",3810
"w10080067GH","song","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",1943
"w10086872RB","music ","circle","0.333333333333333",0,1,"Read","dance","Study1","M","Study Phase","Recall1",6123
"w10089688_jp","circle","circle","1",1,1,"Read","dance","Study1","M","Study Phase","Recall1",29343
"w10126861SES","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",274
"w10131605TS","stand","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",6275
"w10134028","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",746
"w10136835_VEH","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",1484
"w10137367_mpc","par","circle","0.166666666666667",0,1,"Read","dance","Study1","M","Study Phase","Recall1",2017
"w10139896_iro","move","circle","0.166666666666667",0,1,"Read","dance","Study1","M","Study Phase","Recall1",2406
"w10141663MH","circle","circle","1",1,1,"Read","dance","Study1","M","Study Phase","Recall1",7682
"w10142111_AGS","circle","circle","1",1,1,"Read","dance","Study1","M","Study Phase","Recall1",18928
"w10158214_AL","party","circle","0.166666666666667",0,1,"Read","dance","Study1","M","Study Phase","Recall1",7413
"w10158561PR","circle","circle","1",1,1,"Read","dance","Study1","M","Study Phase","Recall1",2671
"w10163667_kg","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",1307
"w10170329_cm","sing","circle","0.166666666666667",0,1,"Read","dance","Study1","M","Study Phase","Recall1",10417
"w10170428_RG","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",3562
"w10173870_tab","","circle","0",0,1,"Read","dance","Study1","M","Study Phase","Recall1",2801
"w10080067GH","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",1541
"w10086872RB","brown","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",3219
"w10089688_jp","cold","day","0.25",0,1,"Read","dark","Study1","M","Study Phase","Recall1",48413
"w10126861SES","","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",358
"w10131605TS","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",5363
"w10134028","light","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",4488
"w10136835_VEH","time","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",2610
"w10137367_mpc","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",13068
"w10139896_iro","sun","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",6929
"w10141663MH","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",20284
"w10142111_AGS","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",88632
"w10158214_AL","light ","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",5820
"w10158561PR","night","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",2345
"w10163667_kg","day","day","1",1,1,"Read","dark","Study1","M","Study Phase","Recall1",20231
"w10170329_cm","moon","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",3832
"w10170428_RG","","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",5575
"w10173870_tab","night","day","0",0,1,"Read","dark","Study1","M","Study Phase","Recall1",2946
"w10080067GH","tooth","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",2339
"w10086872RB","point","wedding","0.285714285714286",0,1,"Read","finger","Study1","M","Study Phase","Recall1",5352
"w10089688_jp","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",3010
"w10126861SES","","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",351
"w10131605TS","foot","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",5364
"w10134028","","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",1471
"w10136835_VEH","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",2568
"w10137367_mpc","","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",404
"w10139896_iro","food","wedding","0.142857142857143",0,1,"Read","finger","Study1","M","Study Phase","Recall1",5279
"w10141663MH","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",6455
"w10142111_AGS","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",4458
"w10158214_AL","hand","wedding","0.285714285714286",0,1,"Read","finger","Study1","M","Study Phase","Recall1",8474
"w10158561PR","hand","wedding","0.285714285714286",0,1,"Read","finger","Study1","M","Study Phase","Recall1",3208
"w10163667_kg","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",2439
"w10170329_cm","nose","wedding","0.285714285714286",0,1,"Read","finger","Study1","M","Study Phase","Recall1",5043
"w10170428_RG","wedding","wedding","1",1,1,"Read","finger","Study1","M","Study Phase","Recall1",6949
"w10173870_tab","","wedding","0",0,1,"Read","finger","Study1","M","Study Phase","Recall1",1072
"w10080067GH","bear","bang","0.5",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",2881
"w10086872RB","bunny","bang","0.4",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",6134
"w10089688_jp","bang","bang","1",1,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",21254
"w10126861SES","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",316
"w10131605TS","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",4639
"w10134028","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",680
"w10136835_VEH","bang","bang","1",1,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",1946
"w10137367_mpc","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",352
"w10139896_iro","rough","bang","0.2",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",4693
"w10141663MH","hard","bang","0.25",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",3371
"w10142111_AGS","bang","bang","1",1,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",18434
"w10158214_AL","soft","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",7318
"w10158561PR","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",2500
"w10163667_kg","bang","bang","1",1,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",27299
"w10170329_cm","furry","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",4633
"w10170428_RG","bear","bang","0.5",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",3138
"w10173870_tab","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase","Recall1",6148
"w10080067GH","away","steak","0.2",0,1,"Read","give","Study1","U","Study Phase","Recall1",2130
"w10086872RB","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",3683
"w10089688_jp","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",3834
"w10126861SES","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",353
"w10131605TS","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",5855
"w10134028","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",2042
"w10136835_VEH","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",1278
"w10137367_mpc","steak","steak","1",1,1,"Read","give","Study1","U","Study Phase","Recall1",13879
"w10139896_iro","steak","steak","1",1,1,"Read","give","Study1","U","Study Phase","Recall1",2148
"w10141663MH","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",4489
"w10142111_AGS","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",4296
"w10158214_AL","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",14023
"w10158561PR","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",1394
"w10163667_kg","","steak","0",0,1,"Read","give","Study1","U","Study Phase","Recall1",2102
"w10170329_cm","shake","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",4036
"w10170428_RG","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase","Recall1",6292
"w10173870_tab","steak","steak","1",1,1,"Read","give","Study1","U","Study Phase","Recall1",7516
"w10080067GH","brush","tooth","0.2",0,1,"Read","hair","Study1","M","Study Phase","Recall1",5402
"w10086872RB","brown","tooth","0.2",0,1,"Read","hair","Study1","M","Study Phase","Recall1",4090
"w10089688_jp","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",11152
"w10126861SES","","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",354
"w10131605TS","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",4301
"w10134028","","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",1403
"w10136835_VEH","","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",920
"w10137367_mpc","","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",2331
"w10139896_iro","scalp","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",2757
"w10141663MH","","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",3905
"w10142111_AGS","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",10412
"w10158214_AL","comb","tooth","0.2",0,1,"Read","hair","Study1","M","Study Phase","Recall1",7759
"w10158561PR","scalp","tooth","0",0,1,"Read","hair","Study1","M","Study Phase","Recall1",3341
"w10163667_kg","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",28393
"w10170329_cm","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",4104
"w10170428_RG","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",3425
"w10173870_tab","tooth","tooth","1",1,1,"Read","hair","Study1","M","Study Phase","Recall1",5273
"w10080067GH","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",1938
"w10086872RB","smell","clean","0.4",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",3256
"w10089688_jp","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",4564
"w10126861SES","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",152
"w10131605TS","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",6123
"w10134028","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",927
"w10136835_VEH","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",1892
"w10137367_mpc","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",8396
"w10139896_iro","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",2412
"w10141663MH","clean ","clean","0.833333333333333",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",3889
"w10142111_AGS","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",11922
"w10158214_AL","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",5272
"w10158561PR","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",1160
"w10163667_kg","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",1080
"w10170329_cm","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",4387
"w10170428_RG","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase","Recall1",2810
"w10173870_tab","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase","Recall1",10915
"w10080067GH","cheese","rod","0",0,1,"Read","keys","Study1","U","Study Phase","Recall1",5128
"w10086872RB","car","rod","0.333333333333333",0,1,"Read","keys","Study1","U","Study Phase","Recall1",3026
"w10089688_jp","rod","rod","1",1,1,"Read","keys","Study1","U","Study Phase","Recall1",3113
"w10126861SES","rod","rod","1",1,1,"Read","keys","Study1","U","Study Phase","Recall1",5183
"w10131605TS","","rod","0",0,1,"Read","keys","Study1","U","Study Phase","Recall1",5661
"w10134028","rod","rod","1",1,1,"Read","keys","Study1","U","Study Phase","Recall1",3858
"w10136835_VEH","car","rod","0.333333333333333",0,1,"Read","keys","Study1","U","Study Phase","Recall1",2028
"w10137367_mpc","rod","rod","1",1,1,"Read","keys","Study1","U","Study Phase","Recall1",5423
"w10139896_iro","hook","rod","0.25",0,1,"Read","keys","Study1","U","Study Phase","Recall1",5159
"w10141663MH","jam","rod","0",0,1,"Read","keys","Study1","U","Study Phase","Recall1",10272
"w10142111_AGS","rod","rod","1",1,1,"Read","keys","Study1","U","Study Phase","Recall1",6637
"w10158214_AL","car","rod","0.333333333333333",0,1,"Read","keys","Study1","U","Study Phase","Recall1",5276
"w10158561PR","","rod","0",0,1,"Read","keys","Study1","U","Study Phase","Recall1",1881
