Experiment,Direction,Task,Average,Upper,Lower
2A,F,JOL,77.25,81.73,72.77
2A,M,JOL,34.44,39.21,29.67
2A,U,JOL,21.75,25.71,17.79
2A,F,Study,58.15,62.26,54.04
2A,M,Study,20.83,25.16,16.5
2A,U,Study,16.43,20.22,12.64
2B,F,JOL,73.17,77.57,68.77
2B,M,JOL,34.17,38.99,29.35
2B,U,JOL,22.17,26.67,17.67
2B,F,Study,58.08,62.62,53.54
2B,M,Study,27.18,32.33,22.03
2B,U,Study,22.58,27.08,18.08
