"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1","source"
"M20301852CE","love","love",2,"JOL","affection","Study1","F","Study Phase",3450,100,"Recall1","MSU"
"M20324226_AG","love","love",2,"JOL","affection","Study1","F","Study Phase",4116,80,"Recall1","MSU"
"M20338519CB","love","love",2,"JOL","affection","Study1","F","Study Phase",3247,45,"Recall1","MSU"
"M20338998SM","love","love",2,"JOL","affection","Study1","F","Study Phase",52401,70,"Recall1","MSU"
"M20339166AP","love","love",2,"JOL","affection","Study1","F","Study Phase",6393,95,"Recall1","MSU"
"M20346505_PC","love","love",2,"JOL","affection","Study1","F","Study Phase",4840,50,"Recall1","MSU"
"M20348221MH","love","love",2,"JOL","affection","Study1","F","Study Phase",3419,30,"Recall1","MSU"
"M20350230JMY","love","love",2,"JOL","affection","Study1","F","Study Phase",3207,98,"Recall1","MSU"
"M20301852CE","jump","jump",2,"JOL","bat","Study1","M","Study Phase",5463,10,"Recall1","MSU"
"M20324226_AG","jump","jump",2,"JOL","bat","Study1","M","Study Phase",4481,60,"Recall1","MSU"
"M20338519CB","wings","jump",2,"JOL","bat","Study1","M","Study Phase",3869,3,"Recall1","MSU"
"M20338998SM","jump","jump",2,"JOL","bat","Study1","M","Study Phase",9580,20,"Recall1","MSU"
"M20339166AP","jumpy","jump",2,"JOL","bat","Study1","M","Study Phase",7051,20,"Recall1","MSU"
"M20346505_PC","jump","jump",2,"JOL","bat","Study1","M","Study Phase",2474,1,"Recall1","MSU"
"M20348221MH","man","jump",2,"JOL","bat","Study1","M","Study Phase",3564,0,"Recall1","MSU"
"M20350230JMY","ball","jump",2,"JOL","bat","Study1","M","Study Phase",2147,22,"Recall1","MSU"
"M20301852CE","square","square",2,"JOL","beach","Study1","M","Study Phase",6365,10,"Recall1","MSU"
"M20324226_AG","sand","square",2,"JOL","beach","Study1","M","Study Phase",3153,60,"Recall1","MSU"
"M20338519CB","sun","square",2,"JOL","beach","Study1","M","Study Phase",4257,24,"Recall1","MSU"
"M20338998SM","square","square",2,"JOL","beach","Study1","M","Study Phase",10072,60,"Recall1","MSU"
"M20339166AP","towel","square",2,"JOL","beach","Study1","M","Study Phase",12643,10,"Recall1","MSU"
"M20346505_PC","sand","square",2,"JOL","beach","Study1","M","Study Phase",3488,1,"Recall1","MSU"
"M20348221MH","square","square",2,"JOL","beach","Study1","M","Study Phase",2654,0,"Recall1","MSU"
"M20350230JMY","","square",2,"JOL","beach","Study1","M","Study Phase",3630,11,"Recall1","MSU"
"M20301852CE","","apple",2,"JOL","birthday","Study1","M","Study Phase",3737,20,"Recall1","MSU"
"M20324226_AG","song","apple",2,"JOL","birthday","Study1","M","Study Phase",6193,70,"Recall1","MSU"
"M20338519CB","apple","apple",2,"JOL","birthday","Study1","M","Study Phase",3548,0,"Recall1","MSU"
"M20338998SM","hand","apple",2,"JOL","birthday","Study1","M","Study Phase",7168,10,"Recall1","MSU"
"M20339166AP","apple","apple",2,"JOL","birthday","Study1","M","Study Phase",14197,20,"Recall1","MSU"
"M20346505_PC","party","apple",2,"JOL","birthday","Study1","M","Study Phase",3127,1,"Recall1","MSU"
"M20348221MH","cake","apple",2,"JOL","birthday","Study1","M","Study Phase",4389,10,"Recall1","MSU"
"M20350230JMY","cake","apple",2,"JOL","birthday","Study1","M","Study Phase",2584,11,"Recall1","MSU"
"M20301852CE","hand","hand",2,"JOL","cake","Study1","U","Study Phase",5442,20,"Recall1","MSU"
"M20324226_AG","hand","hand",2,"JOL","cake","Study1","U","Study Phase",7947,75,"Recall1","MSU"
"M20338519CB","walk","hand",2,"JOL","cake","Study1","U","Study Phase",4318,39,"Recall1","MSU"
