"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"20337845D.A.","love","love",1,"Read","affection","Study1","F","Study Phase",1335,"Recall1","MSU"
"M20278234LVG","love","love",1,"Read","affection","Study1","F","Study Phase",3641,"Recall1","MSU"
"M20316504APG","love","love",1,"Read","affection","Study1","F","Study Phase",5719,"Recall1","MSU"
"M20320231_MMS","love","love",1,"Read","affection","Study1","F","Study Phase",3160,"Recall1","MSU"
"M20333893_HRR","love","love",1,"Read","affection","Study1","F","Study Phase",1936,"Recall1","MSU"
"M20333927NNN","love","love",1,"Read","affection","Study1","F","Study Phase",1465,"Recall1","MSU"
"M20342347","love","love",1,"Read","affection","Study1","F","Study Phase",3289,"Recall1","MSU"
"m20344614_tmw","love","love",1,"Read","affection","Study1","F","Study Phase",1759,"Recall1","MSU"
"20337845D.A.","ball","jump",1,"Read","bat","Study1","M","Study Phase",1617,"Recall1","MSU"
"M20278234LVG","wings","jump",1,"Read","bat","Study1","M","Study Phase",2224,"Recall1","MSU"
"M20316504APG","jump","jump",1,"Read","bat","Study1","M","Study Phase",7804,"Recall1","MSU"
"M20320231_MMS","jump","jump",1,"Read","bat","Study1","M","Study Phase",2242,"Recall1","MSU"
"M20333893_HRR","jump","jump",1,"Read","bat","Study1","M","Study Phase",1716,"Recall1","MSU"
"M20333927NNN","cave","jump",1,"Read","bat","Study1","M","Study Phase",1982,"Recall1","MSU"
"M20342347","bar","jump",1,"Read","bat","Study1","M","Study Phase",7510,"Recall1","MSU"
"m20344614_tmw","jump","jump",1,"Read","bat","Study1","M","Study Phase",3777,"Recall1","MSU"
"20337845D.A.","sand\","square",1,"Read","beach","Study1","M","Study Phase",1201,"Recall1","MSU"
"M20278234LVG","square","square",1,"Read","beach","Study1","M","Study Phase",3778,"Recall1","MSU"
"M20316504APG","square","square",1,"Read","beach","Study1","M","Study Phase",7373,"Recall1","MSU"
"M20320231_MMS","square","square",1,"Read","beach","Study1","M","Study Phase",2331,"Recall1","MSU"
"M20333893_HRR","square","square",1,"Read","beach","Study1","M","Study Phase",1691,"Recall1","MSU"
"M20333927NNN","tempature","square",1,"Read","beach","Study1","M","Study Phase",1131,"Recall1","MSU"
"M20342347","waves ","square",1,"Read","beach","Study1","M","Study Phase",1816,"Recall1","MSU"
"m20344614_tmw","tree","square",1,"Read","beach","Study1","M","Study Phase",1458,"Recall1","MSU"
"20337845D.A.","cake","apple",1,"Read","birthday","Study1","M","Study Phase",2435,"Recall1","MSU"
"M20278234LVG","","apple",1,"Read","birthday","Study1","M","Study Phase",4294,"Recall1","MSU"
"M20316504APG","","apple",1,"Read","birthday","Study1","M","Study Phase",6934,"Recall1","MSU"
"M20320231_MMS","cake","apple",1,"Read","birthday","Study1","M","Study Phase",3286,"Recall1","MSU"
"M20333893_HRR","","apple",1,"Read","birthday","Study1","M","Study Phase",1975,"Recall1","MSU"
"M20333927NNN","cake","apple",1,"Read","birthday","Study1","M","Study Phase",1718,"Recall1","MSU"
"M20342347","cake ","apple",1,"Read","birthday","Study1","M","Study Phase",1336,"Recall1","MSU"
"m20344614_tmw","fun","apple",1,"Read","birthday","Study1","M","Study Phase",1139,"Recall1","MSU"
"20337845D.A.","slice","hand",1,"Read","cake","Study1","U","Study Phase",1480,"Recall1","MSU"
"M20278234LVG","wedding","hand",1,"Read","cake","Study1","U","Study Phase",7072,"Recall1","MSU"
"M20316504APG","","hand",1,"Read","cake","Study1","U","Study Phase",6305,"Recall1","MSU"
"M20320231_MMS","birthday","hand",1,"Read","cake","Study1","U","Study Phase",1893,"Recall1","MSU"
"M20333893_HRR","","hand",1,"Read","cake","Study1","U","Study Phase",1247,"Recall1","MSU"
"M20333927NNN","wedding","hand",1,"Read","cake","Study1","U","Study Phase",1447,"Recall1","MSU"
"M20342347","bake ","hand",1,"Read","cake","Study1","U","Study Phase",9403,"Recall1","MSU"
"m20344614_tmw","dessert","hand",1,"Read","cake","Study1","U","Study Phase",1508,"Recall1","MSU"
"20337845D.A.","roof","rug",1,"Read","ceiling","Study1","M","Study Phase",1355,"Recall1","MSU"
"M20278234LVG","fan","rug",1,"Read","ceiling","Study1","M","Study Phase",3356,"Recall1","MSU"
"M20316504APG","rug","rug",1,"Read","ceiling","Study1","M","Study Phase",4197,"Recall1","MSU"
"M20320231_MMS","rug","rug",1,"Read","ceiling","Study1","M","Study Phase",2603,"Recall1","MSU"
"M20333893_HRR","rug","rug",1,"Read","ceiling","Study1","M","Study Phase",2247,"Recall1","MSU"
"M20333927NNN","rug","rug",1,"Read","ceiling","Study1","M","Study Phase",1389,"Recall1","MSU"
"M20342347","being","rug",1,"Read","ceiling","Study1","M","Study Phase",1988,"Recall1","MSU"
"m20344614_tmw","fan","rug",1,"Read","ceiling","Study1","M","Study Phase",1103,"Recall1","MSU"
"20337845D.A.","square","fun",1,"Read","circle","Study1","M","Study Phase",1817,"Recall1","MSU"
"M20278234LVG","","fun",1,"Read","circle","Study1","M","Study Phase",3521,"Recall1","MSU"
"M20316504APG","fun","fun",1,"Read","circle","Study1","M","Study Phase",5687,"Recall1","MSU"
"M20320231_MMS","fun","fun",1,"Read","circle","Study1","M","Study Phase",4955,"Recall1","MSU"
"M20333893_HRR","","fun",1,"Read","circle","Study1","M","Study Phase",3090,"Recall1","MSU"
"M20333927NNN","dot","fun",1,"Read","circle","Study1","M","Study Phase",1189,"Recall1","MSU"
"M20342347","triangle ","fun",1,"Read","circle","Study1","M","Study Phase",2420,"Recall1","MSU"
"m20344614_tmw","motion","fun",1,"Read","circle","Study1","M","Study Phase",1101,"Recall1","MSU"
"20337845D.A.","barrel","election",1,"Read","crackle","Study1","U","Study Phase",1260,"Recall1","MSU"
"M20278234LVG","fire","election",1,"Read","crackle","Study1","U","Study Phase",3489,"Recall1","MSU"
"M20316504APG","election","election",1,"Read","crackle","Study1","U","Study Phase",5601,"Recall1","MSU"
"M20320231_MMS","election","election",1,"Read","crackle","Study1","U","Study Phase",6497,"Recall1","MSU"
"M20333893_HRR","","election",1,"Read","crackle","Study1","U","Study Phase",3258,"Recall1","MSU"
"M20333927NNN","pop","election",1,"Read","crackle","Study1","U","Study Phase",1544,"Recall1","MSU"
"M20342347","smackle ","election",1,"Read","crackle","Study1","U","Study Phase",3823,"Recall1","MSU"
"m20344614_tmw","giggle","election",1,"Read","crackle","Study1","U","Study Phase",15677,"Recall1","MSU"
"20337845D.A.","card","card",1,"Read","credit","Study1","F","Study Phase",1279,"Recall1","MSU"
"M20278234LVG","card","card",1,"Read","credit","Study1","F","Study Phase",3728,"Recall1","MSU"
"M20316504APG","card","card",1,"Read","credit","Study1","F","Study Phase",4300,"Recall1","MSU"
"M20320231_MMS","card","card",1,"Read","credit","Study1","F","Study Phase",4556,"Recall1","MSU"
"M20333893_HRR","","card",1,"Read","credit","Study1","F","Study Phase",3140,"Recall1","MSU"
"M20333927NNN","card","card",1,"Read","credit","Study1","F","Study Phase",1169,"Recall1","MSU"
"M20342347","debit","card",1,"Read","credit","Study1","F","Study Phase",1429,"Recall1","MSU"
"m20344614_tmw","debit","card",1,"Read","credit","Study1","F","Study Phase",1040,"Recall1","MSU"
"20337845D.A.","tears","beer",1,"Read","cry","Study1","M","Study Phase",1168,"Recall1","MSU"
"M20278234LVG","baby","beer",1,"Read","cry","Study1","M","Study Phase",3016,"Recall1","MSU"
"M20316504APG","beer","beer",1,"Read","cry","Study1","M","Study Phase",7666,"Recall1","MSU"
"M20320231_MMS","circle","beer",1,"Read","cry","Study1","M","Study Phase",3932,"Recall1","MSU"
"M20333893_HRR","beer","beer",1,"Read","cry","Study1","M","Study Phase",2972,"Recall1","MSU"
"M20333927NNN","sob","beer",1,"Read","cry","Study1","M","Study Phase",1239,"Recall1","MSU"
"M20342347","baby","beer",1,"Read","cry","Study1","M","Study Phase",1904,"Recall1","MSU"
"m20344614_tmw","puddle","beer",1,"Read","cry","Study1","M","Study Phase",961,"Recall1","MSU"
"20337845D.A.","night","black",1,"Read","day","Study1","M","Study Phase",1795,"Recall1","MSU"
"M20278234LVG","night","black",1,"Read","day","Study1","M","Study Phase",5562,"Recall1","MSU"
"M20316504APG","weaks","black",1,"Read","day","Study1","M","Study Phase",5755,"Recall1","MSU"
"M20320231_MMS","black","black",1,"Read","day","Study1","M","Study Phase",5040,"Recall1","MSU"
"M20333893_HRR","black","black",1,"Read","day","Study1","M","Study Phase",2490,"Recall1","MSU"
"M20333927NNN","week","black",1,"Read","day","Study1","M","Study Phase",4404,"Recall1","MSU"
"M20342347","play","black",1,"Read","day","Study1","M","Study Phase",3530,"Recall1","MSU"
"m20344614_tmw","night","black",1,"Read","day","Study1","M","Study Phase",2399,"Recall1","MSU"
"20337845D.A.","soft","bang",1,"Read","fuzzy","Study1","U","Study Phase",722,"Recall1","MSU"
"M20278234LVG","","bang",1,"Read","fuzzy","Study1","U","Study Phase",7313,"Recall1","MSU"
"M20316504APG","","bang",1,"Read","fuzzy","Study1","U","Study Phase",5343,"Recall1","MSU"
"M20320231_MMS","nope","bang",1,"Read","fuzzy","Study1","U","Study Phase",2732,"Recall1","MSU"
"M20333893_HRR","","bang",1,"Read","fuzzy","Study1","U","Study Phase",1967,"Recall1","MSU"
"M20333927NNN","dog","bang",1,"Read","fuzzy","Study1","U","Study Phase",1491,"Recall1","MSU"
"M20342347","wuzzy","bang",1,"Read","fuzzy","Study1","U","Study Phase",1330,"Recall1","MSU"
"m20344614_tmw","animal","bang",1,"Read","fuzzy","Study1","U","Study Phase",1197,"Recall1","MSU"
"20337845D.A.","take","steak",1,"Read","give","Study1","U","Study Phase",2081,"Recall1","MSU"
"M20278234LVG","take","steak",1,"Read","give","Study1","U","Study Phase",4273,"Recall1","MSU"
"M20316504APG","","steak",1,"Read","give","Study1","U","Study Phase",6223,"Recall1","MSU"
"M20320231_MMS","take","steak",1,"Read","give","Study1","U","Study Phase",2332,"Recall1","MSU"
"M20333893_HRR","","steak",1,"Read","give","Study1","U","Study Phase",2057,"Recall1","MSU"
"M20333927NNN","","steak",1,"Read","give","Study1","U","Study Phase",1311,"Recall1","MSU"
"M20342347","take","steak",1,"Read","give","Study1","U","Study Phase",2243,"Recall1","MSU"
"m20344614_tmw","take","steak",1,"Read","give","Study1","U","Study Phase",1188,"Recall1","MSU"
"20337845D.A.","soft","ball",1,"Read","hard","Study1","M","Study Phase",963,"Recall1","MSU"
"M20278234LVG","soft","ball",1,"Read","hard","Study1","M","Study Phase",2564,"Recall1","MSU"
"M20316504APG","ball","ball",1,"Read","hard","Study1","M","Study Phase",3563,"Recall1","MSU"
"M20320231_MMS","tack","ball",1,"Read","hard","Study1","M","Study Phase",3482,"Recall1","MSU"
"M20333893_HRR","","ball",1,"Read","hard","Study1","M","Study Phase",1956,"Recall1","MSU"
"M20333927NNN","ball","ball",1,"Read","hard","Study1","M","Study Phase",2043,"Recall1","MSU"
"M20342347","mart","ball",1,"Read","hard","Study1","M","Study Phase",1480,"Recall1","MSU"
"m20344614_tmw","push","ball",1,"Read","hard","Study1","M","Study Phase",1273,"Recall1","MSU"
"20337845D.A.","mule","tire",1,"Read","horse","Study1","M","Study Phase",2300,"Recall1","MSU"
"M20278234LVG","","tire",1,"Read","horse","Study1","M","Study Phase",4869,"Recall1","MSU"
"M20316504APG","","tire",1,"Read","horse","Study1","M","Study Phase",7427,"Recall1","MSU"
"M20320231_MMS","guess","tire",1,"Read","horse","Study1","M","Study Phase",4202,"Recall1","MSU"
"M20333893_HRR","","tire",1,"Read","horse","Study1","M","Study Phase",2429,"Recall1","MSU"
"M20333927NNN","mule","tire",1,"Read","horse","Study1","M","Study Phase",892,"Recall1","MSU"
"M20342347","donkey","tire",1,"Read","horse","Study1","M","Study Phase",1445,"Recall1","MSU"
"m20344614_tmw","animal","tire",1,"Read","horse","Study1","M","Study Phase",1153,"Recall1","MSU"
"20337845D.A.","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",3865,"Recall1","MSU"
