"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Procedure.Shuffle.1","Response.RT"
"10170473MP","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2183
"w10075447KJ","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",1816
"w10080067GH","kiss","love",1,"Read","affection","Study1","F","Study Phase","Recall1",3006
"w10086872RB","love ","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2981
"w10089688_jp","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",3852
"W10097113_SML","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",4910
"w10126861SES","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",123
"w10131605TS","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",3779
"w10134028","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",1036
"w10136835_VEH","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",1771
"w10137210_zr","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2508
"w10137367_mpc","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",14636
"w10139896_iro","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",4473
"w10141663MH","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2973
"w10142111_AGS","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2247
"w10158214_AL","touch ","love",1,"Read","affection","Study1","F","Study Phase","Recall1",53025
"w10158561PR","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",687
"w10163667_kg","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2325
"w10170329_cm","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",3501
"w10170428_RG","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",6992
"w10171031","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2564
"w10173870_tab","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",1136
"w10175512_hmr","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",3362
"w10179887cgs","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",2906
"w10180613_ajt","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",7321
"w10180617_ckc","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",1805
"w10186913_mnr","love","love",1,"Read","affection","Study1","F","Study Phase","Recall1",7621
"w10187622_dab","attractive","love",1,"Read","affection","Study1","F","Study Phase","Recall1",14357
"W10193555-lhc","","love",1,"Read","affection","Study1","F","Study Phase","Recall1",4092
"W791354JJ","action","love",1,"Read","affection","Study1","F","Study Phase","Recall1",5495
"10170473MP","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",1195
"w10075447KJ","pop","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",2048
"w10080067GH","cap","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",1884
"w10086872RB","pop","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",4840
"w10089688_jp","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",4104
"W10097113_SML","soda","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",4526
"w10126861SES","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",410
"w10131605TS","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",3406
"w10134028","cap","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",3612
"w10136835_VEH","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",1186
"w10137210_zr","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",3085
"w10137367_mpc","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",2533
"w10139896_iro","opener","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",5034
"w10141663MH","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",4639
"w10142111_AGS","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",13188
"w10158214_AL","water","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",14362
"w10158561PR","cao","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",2021
"w10163667_kg","","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",1143
"w10170329_cm","cap","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",4249
"w10170428_RG","opener","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",6715
"w10171031","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",2627
"w10173870_tab","drink","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",7981
"w10175512_hmr","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",6626
"w10179887cgs","water","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",5210
"w10180613_ajt","cap","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",13606
"w10180617_ckc","water","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",2564
"w10186913_mnr","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",20439
"w10187622_dab","empty","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",5675
"W10193555-lhc","cry","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",6097
"W791354JJ","cap","cry",1,"Read","bottle","Study1","M","Study Phase","Recall1",3567
"10170473MP","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",940
"w10075447KJ","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",1702
"w10080067GH","back","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",2138
"w10086872RB","house","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",4276
"w10089688_jp","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",17530
"W10097113_SML","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",5666
"w10126861SES","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",4182
"w10131605TS","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",9195
"w10134028","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",925
"w10136835_VEH","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",1610
"w10137210_zr","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",5764
"w10137367_mpc","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",626
"w10139896_iro","jump","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",2705
"w10141663MH","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",6879
"w10142111_AGS","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",15048
"w10158214_AL","bar","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",12843
"w10158561PR","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",1047
"w10163667_kg","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",1224
"w10170329_cm","jump","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",5342
"w10170428_RG","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",4803
"w10171031","bat","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",2990
"w10173870_tab","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",3080
"w10175512_hmr","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",1587
"w10179887cgs","ball","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",4194
"w10180613_ajt","","bat",1,"Read","bounce","Study1","M","Study Phase","Recall1",13158
