"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"20319692CL","love","love",2,"JOL","affection","Study1","F","Study Phase",36,"Recall1",1963
"M20277369_edm","love","love",2,"JOL","affection","Study1","F","Study Phase",78,"Recall1",3452
"M20288446A.T","love","love",2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",1764
"M20300061AA","love","love",2,"JOL","affection","Study1","F","Study Phase",90,"Recall1",2432
"M20317869CDT","love","love",2,"JOL","affection","Study1","F","Study Phase",80,"Recall1",2539
"M20319488_IDH","love","love",2,"JOL","affection","Study1","F","Study Phase",65,"Recall1",1723
"M20322318","","love",2,"JOL","affection","Study1","F","Study Phase",70,"Recall1",769
"M20330812","love","love",2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",12930
"M20331863_TL","","love",2,"JOL","affection","Study1","F","Study Phase",34,"Recall1",3942
"M20332017!DJ","love","love",2,"JOL","affection","Study1","F","Study Phase",80,"Recall1",2178
"M20333447_MHT","love","love",2,"JOL","affection","Study1","F","Study Phase",40,"Recall1",1737
"M20333764_CG","love","love",2,"JOL","affection","Study1","F","Study Phase",90,"Recall1",3644
"M20335355MK","love","love",2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",3293
"20319692CL","dark","bounce",2,"JOL","bat","Study1","M","Study Phase",0,"Recall1",6527
"M20277369_edm","swing","bounce",2,"JOL","bat","Study1","M","Study Phase",76,"Recall1",4581
"M20288446A.T","fly","bounce",2,"JOL","bat","Study1","M","Study Phase",0,"Recall1",4064
"M20300061AA","","bounce",2,"JOL","bat","Study1","M","Study Phase",85,"Recall1",1052
"M20317869CDT","swim","bounce",2,"JOL","bat","Study1","M","Study Phase",0,"Recall1",8451
"M20319488_IDH","cave","bounce",2,"JOL","bat","Study1","M","Study Phase",37,"Recall1",4751
"M20322318","","bounce",2,"JOL","bat","Study1","M","Study Phase",10,"Recall1",2531
"M20330812","ball","bounce",2,"JOL","bat","Study1","M","Study Phase",100,"Recall1",10835
"M20331863_TL","","bounce",2,"JOL","bat","Study1","M","Study Phase",60,"Recall1",2064
