"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"W10087993_tlh","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",2407,"Recall1"
"W10113617_mr","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1466,"Recall1"
"W10124981_NW","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",958,"Recall1"
"W10126357_MJ","","love","0",0,1,"Read","affection","Study1","F","Study Phase",1256,"Recall1"
"w10128846_klm","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1200,"Recall1"
"w10132784ANG","hug","love","0",0,1,"Read","affection","Study1","F","Study Phase",686,"Recall1"
"W10133649_mjh","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",974,"Recall1"
"w10136516_mld","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1446,"Recall1"
"w10153319HLP","","love","0",0,1,"Read","affection","Study1","F","Study Phase",884,"Recall1"
"w10154153_CLJ","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1152,"Recall1"
"w10157807CA","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",970,"Recall1"
"w10162363_DMF","","love","0",0,1,"Read","affection","Study1","F","Study Phase",661,"Recall1"
"w10166559CB","attention","love","0.222222222222222",0,1,"Read","affection","Study1","F","Study Phase",317,"Recall1"
"w10193139SS","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1588,"Recall1"
"W10087993_tlh","take","jump","0",0,1,"Read","bat","Study1","M","Study Phase",2000,"Recall1"
"W10113617_mr","cave","jump","0",0,1,"Read","bat","Study1","M","Study Phase",742,"Recall1"
"W10124981_NW","lid","jump","0",0,1,"Read","bat","Study1","M","Study Phase",922,"Recall1"
"W10126357_MJ","","jump","0",0,1,"Read","bat","Study1","M","Study Phase",1713,"Recall1"
"w10128846_klm","ball","jump","0",0,1,"Read","bat","Study1","M","Study Phase",1129,"Recall1"
"w10132784ANG","animal","jump","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",570,"Recall1"
"W10133649_mjh","","jump","0",0,1,"Read","bat","Study1","M","Study Phase",1370,"Recall1"
"w10136516_mld","ball","jump","0",0,1,"Read","bat","Study1","M","Study Phase",2015,"Recall1"
"w10153319HLP","","jump","0",0,1,"Read","bat","Study1","M","Study Phase",446,"Recall1"
"w10154153_CLJ","ball","jump","0",0,1,"Read","bat","Study1","M","Study Phase",1468,"Recall1"
"w10157807CA","","jump","0",0,1,"Read","bat","Study1","M","Study Phase",486,"Recall1"
"w10162363_DMF","man","jump","0.25",0,1,"Read","bat","Study1","M","Study Phase",396,"Recall1"
"w10166559CB","fall","jump","0",0,1,"Read","bat","Study1","M","Study Phase",1142,"Recall1"
"w10193139SS","man","jump","0.25",0,1,"Read","bat","Study1","M","Study Phase",1175,"Recall1"
