"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1","source"
"W10036695_HNF","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",4300,60,"Recall1","USM"
"W10062359_DTW","lovr","love","0.75",1,2,"JOL","affection","Study1","F","Study Phase",2813,60,"Recall1","USM"
"w10098434SM","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3124,10,"Recall1","USM"
"W10114267_hmr","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2340,60,"Recall1","USM"
"w10121050CP","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",12841,97.5,"Recall1","USM"
"w10134011AS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",1820,90,"Recall1","USM"
"W10143491_AAC","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3302,90,"Recall1","USM"
"w10154681_APL","hug","love","0",0,2,"JOL","affection","Study1","F","Study Phase",2179,90,"Recall1","USM"
"w10171157_BML","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3051,100,"Recall1","USM"
"w10174798_mbk","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2557,60,"Recall1","USM"
"W10175044_se","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",4252,90,"Recall1","USM"
"w10177959_hrq","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",1168,55,"Recall1","USM"
"w10181345_dnr","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3879,100,"Recall1","USM"
"w10181717_AH","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",4793,88,"Recall1","USM"
"w10183183RB","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",9954,75,"Recall1","USM"
"w10187856OS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2838,99,"Recall1","USM"
"w10190438ca","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",4389,55,"Recall1","USM"
"W10036695_HNF","","jump","0",0,2,"JOL","bat","Study1","M","Study Phase",2738,20,"Recall1","USM"
"W10062359_DTW","","jump","0",0,2,"JOL","bat","Study1","M","Study Phase",2128,40,"Recall1","USM"
"w10098434SM","baseball","jump","0",0,2,"JOL","bat","Study1","M","Study Phase",3527,0,"Recall1","USM"
