"id","encoding","direction","Response.RT","score","experiment"
"10111256JA","JOL","F",9168,100,"Ex1A"
"w10042447_keo","JOL","F",2088,100,"Ex1A"
"w10129023_aft","JOL","F",2587,100,"Ex1A"
"w10132704","JOL","F",4677,100,"Ex1A"
"w10139977_abt","JOL","F",13618,100,"Ex1A"
"w10140542KB","JOL","F",2799,100,"Ex1A"
"w10142718_ec","JOL","F",2081,100,"Ex1A"
"w10153807_MLP","JOL","F",6647,100,"Ex1A"
"w10157774HB","JOL","F",2973,100,"Ex1A"
"W10172829OA","JOL","F",3990,100,"Ex1A"
"W10174596_jw","JOL","F",3809,100,"Ex1A"
"w985404_djb","JOL","F",3419,100,"Ex1A"
"10111256JA","JOL","M",3108,0,"Ex1A"
"w10042447_keo","JOL","M",2298,0,"Ex1A"
"w10129023_aft","JOL","M",3935,0,"Ex1A"
"w10132704","JOL","M",2512,0,"Ex1A"
"w10139977_abt","JOL","M",7656,0,"Ex1A"
"w10140542KB","JOL","M",2330,0,"Ex1A"
"w10142718_ec","JOL","M",4646,100,"Ex1A"
"w10153807_MLP","JOL","M",4413,0,"Ex1A"
"w10157774HB","JOL","M",4602,0,"Ex1A"
"W10172829OA","JOL","M",3319,100,"Ex1A"
"W10174596_jw","JOL","M",4633,100,"Ex1A"
"w985404_djb","JOL","M",9984,0,"Ex1A"
"10111256JA","JOL","M",1967,0,"Ex1A"
"w10042447_keo","JOL","M",3057,0,"Ex1A"
"w10129023_aft","JOL","M",4986,100,"Ex1A"
"w10132704","JOL","M",3293,0,"Ex1A"
"w10139977_abt","JOL","M",5006,100,"Ex1A"
"w10140542KB","JOL","M",2174,0,"Ex1A"
"w10142718_ec","JOL","M",1720,100,"Ex1A"
"w10153807_MLP","JOL","M",3350,0,"Ex1A"
"w10157774HB","JOL","M",2534,100,"Ex1A"
"W10172829OA","JOL","M",4087,100,"Ex1A"
"W10174596_jw","JOL","M",5386,100,"Ex1A"
"w985404_djb","JOL","M",2259,0,"Ex1A"
"10111256JA","JOL","M",2270,0,"Ex1A"
"w10042447_keo","JOL","M",2980,0,"Ex1A"
"w10129023_aft","JOL","M",4638,100,"Ex1A"
"w10132704","JOL","M",7246,0,"Ex1A"
"w10139977_abt","JOL","M",4017,0,"Ex1A"
"w10140542KB","JOL","M",2246,0,"Ex1A"
"w10142718_ec","JOL","M",3522,100,"Ex1A"
"w10153807_MLP","JOL","M",8657,0,"Ex1A"
"w10157774HB","JOL","M",1824,0,"Ex1A"
"W10172829OA","JOL","M",3716,100,"Ex1A"
"W10174596_jw","JOL","M",4356,100,"Ex1A"
"w985404_djb","JOL","M",4582,100,"Ex1A"
"10111256JA","JOL","U",1561,0,"Ex1A"
"w10042447_keo","JOL","U",3559,0,"Ex1A"
"w10129023_aft","JOL","U",3668,100,"Ex1A"
"w10132704","JOL","U",2197,0,"Ex1A"
"w10139977_abt","JOL","U",6590,0,"Ex1A"
"w10140542KB","JOL","U",1825,0,"Ex1A"
"w10142718_ec","JOL","U",1663,0,"Ex1A"
"w10153807_MLP","JOL","U",5974,100,"Ex1A"
"w10157774HB","JOL","U",3237,0,"Ex1A"
"W10172829OA","JOL","U",4463,0,"Ex1A"
"W10174596_jw","JOL","U",4924,100,"Ex1A"
"w985404_djb","JOL","U",1864,0,"Ex1A"
"10111256JA","JOL","M",1394,0,"Ex1A"
"w10042447_keo","JOL","M",12562,0,"Ex1A"
"w10129023_aft","JOL","M",5832,0,"Ex1A"
"w10132704","JOL","M",2157,0,"Ex1A"
"w10139977_abt","JOL","M",3589,0,"Ex1A"
"w10140542KB","JOL","M",2173,100,"Ex1A"
"w10142718_ec","JOL","M",2851,0,"Ex1A"
"w10153807_MLP","JOL","M",9870,100,"Ex1A"
"w10157774HB","JOL","M",2454,0,"Ex1A"
"W10172829OA","JOL","M",4864,100,"Ex1A"
"W10174596_jw","JOL","M",3974,100,"Ex1A"
"w985404_djb","JOL","M",2124,0,"Ex1A"
"10111256JA","JOL","M",2440,0,"Ex1A"
"w10042447_keo","JOL","M",4309,0,"Ex1A"
"w10129023_aft","JOL","M",5212,100,"Ex1A"
"w10132704","JOL","M",1892,0,"Ex1A"
"w10139977_abt","JOL","M",2736,0,"Ex1A"
"w10140542KB","JOL","M",2976,100,"Ex1A"
"w10142718_ec","JOL","M",2213,0,"Ex1A"
"w10153807_MLP","JOL","M",7998,100,"Ex1A"
"w10157774HB","JOL","M",2475,100,"Ex1A"
