"id","Encoding_Group","Block","Direction","Response.RT","Scored","experiment"
"M20293288GM","JOL","Study1","F",2800,0,"Ex2A"
"M20301852CE","JOL","Study1","F",3450,100,"Ex2A"
"M20324226_AG","JOL","Study1","F",4116,100,"Ex2A"
"M20338519CB","JOL","Study1","F",3247,100,"Ex2A"
"M20338998SM","JOL","Study1","F",52401,100,"Ex2A"
"M20339166AP","JOL","Study1","F",6393,100,"Ex2A"
"M20340668_JAG","JOL","Study1","F",2559,100,"Ex2A"
"M203425855","JOL","Study1","F",2924,100,"Ex2A"
"M20346478","JOL","Study1","F",9029,100,"Ex2A"
"M20346505_PC","JOL","Study1","F",4840,100,"Ex2A"
"M20348221MH","JOL","Study1","F",3419,100,"Ex2A"
"M20350230JMY","JOL","Study1","F",3207,100,"Ex2A"
"M20293288GM","JOL","Study1","M",3422,0,"Ex2A"
"M20301852CE","JOL","Study1","M",5463,100,"Ex2A"
"M20324226_AG","JOL","Study1","M",4481,100,"Ex2A"
"M20338519CB","JOL","Study1","M",3869,0,"Ex2A"
"M20338998SM","JOL","Study1","M",9580,100,"Ex2A"
"M20339166AP","JOL","Study1","M",7051,100,"Ex2A"
"M20340668_JAG","JOL","Study1","M",5596,0,"Ex2A"
"M203425855","JOL","Study1","M",3891,100,"Ex2A"
"M20346478","JOL","Study1","M",11837,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",2474,100,"Ex2A"
"M20348221MH","JOL","Study1","M",3564,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",2147,0,"Ex2A"
"M20293288GM","JOL","Study1","M",2034,0,"Ex2A"
"M20301852CE","JOL","Study1","M",6365,100,"Ex2A"
"M20324226_AG","JOL","Study1","M",3153,0,"Ex2A"
"M20338519CB","JOL","Study1","M",4257,0,"Ex2A"
"M20338998SM","JOL","Study1","M",10072,100,"Ex2A"
"M20339166AP","JOL","Study1","M",12643,0,"Ex2A"
"M20340668_JAG","JOL","Study1","M",4550,0,"Ex2A"
"M203425855","JOL","Study1","M",4615,100,"Ex2A"
"M20346478","JOL","Study1","M",5300,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",3488,0,"Ex2A"
"M20348221MH","JOL","Study1","M",2654,100,"Ex2A"
"M20350230JMY","JOL","Study1","M",3630,0,"Ex2A"
"M20293288GM","JOL","Study1","M",5012,0,"Ex2A"
"M20301852CE","JOL","Study1","M",3737,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",6193,0,"Ex2A"
"M20338519CB","JOL","Study1","M",3548,100,"Ex2A"
"M20338998SM","JOL","Study1","M",7168,0,"Ex2A"
"M20339166AP","JOL","Study1","M",14197,100,"Ex2A"
"M20340668_JAG","JOL","Study1","M",5070,0,"Ex2A"
"M203425855","JOL","Study1","M",6080,0,"Ex2A"
"M20346478","JOL","Study1","M",3527,0,"Ex2A"
"M20346505_PC","JOL","Study1","M",3127,0,"Ex2A"
"M20348221MH","JOL","Study1","M",4389,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",2584,0,"Ex2A"
"M20293288GM","JOL","Study1","U",2656,0,"Ex2A"
"M20301852CE","JOL","Study1","U",5442,100,"Ex2A"
"M20324226_AG","JOL","Study1","U",7947,100,"Ex2A"
"M20338519CB","JOL","Study1","U",4318,0,"Ex2A"
"M20338998SM","JOL","Study1","U",5150,100,"Ex2A"
"M20339166AP","JOL","Study1","U",7985,0,"Ex2A"
"M20340668_JAG","JOL","Study1","U",8563,0,"Ex2A"
"M203425855","JOL","Study1","U",23175,100,"Ex2A"
"M20346478","JOL","Study1","U",4658,0,"Ex2A"
"M20346505_PC","JOL","Study1","U",3563,0,"Ex2A"
"M20348221MH","JOL","Study1","U",9703,0,"Ex2A"
"M20350230JMY","JOL","Study1","U",3403,100,"Ex2A"
"M20293288GM","JOL","Study1","M",2274,0,"Ex2A"
"M20301852CE","JOL","Study1","M",4105,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",6413,0,"Ex2A"
"M20338519CB","JOL","Study1","M",5389,100,"Ex2A"
"M20338998SM","JOL","Study1","M",6139,100,"Ex2A"
"M20339166AP","JOL","Study1","M",5837,100,"Ex2A"
"M20340668_JAG","JOL","Study1","M",6630,100,"Ex2A"
"M203425855","JOL","Study1","M",14096,0,"Ex2A"
"M20346478","JOL","Study1","M",9018,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",4819,0,"Ex2A"
"M20348221MH","JOL","Study1","M",3177,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",4272,0,"Ex2A"
"M20293288GM","JOL","Study1","M",2238,0,"Ex2A"
"M20301852CE","JOL","Study1","M",3349,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",3623,100,"Ex2A"
"M20338519CB","JOL","Study1","M",3084,100,"Ex2A"
"M20338998SM","JOL","Study1","M",5519,100,"Ex2A"
"M20339166AP","JOL","Study1","M",6294,0,"Ex2A"
"M20340668_JAG","JOL","Study1","M",2920,0,"Ex2A"
"M203425855","JOL","Study1","M",2406,100,"Ex2A"
"M20346478","JOL","Study1","M",3462,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",5141,0,"Ex2A"
"M20348221MH","JOL","Study1","M",22016,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",3586,0,"Ex2A"
"M20293288GM","JOL","Study1","U",2309,0,"Ex2A"
"M20301852CE","JOL","Study1","U",4632,0,"Ex2A"
"M20324226_AG","JOL","Study1","U",35997,0,"Ex2A"
"M20338519CB","JOL","Study1","U",4329,0,"Ex2A"
"M20338998SM","JOL","Study1","U",10266,0,"Ex2A"
"M20339166AP","JOL","Study1","U",11573,100,"Ex2A"
"M20340668_JAG","JOL","Study1","U",5417,0,"Ex2A"
"M203425855","JOL","Study1","U",6816,0,"Ex2A"
"M20346478","JOL","Study1","U",11574,0,"Ex2A"
"M20346505_PC","JOL","Study1","U",2449,0,"Ex2A"
"M20348221MH","JOL","Study1","U",7976,100,"Ex2A"
"M20350230JMY","JOL","Study1","U",3626,0,"Ex2A"
"M20293288GM","JOL","Study1","F",1847,100,"Ex2A"
"M20301852CE","JOL","Study1","F",3807,100,"Ex2A"
"M20324226_AG","JOL","Study1","F",4446,100,"Ex2A"
"M20338519CB","JOL","Study1","F",3161,100,"Ex2A"
"M20338998SM","JOL","Study1","F",2947,100,"Ex2A"
"M20339166AP","JOL","Study1","F",5420,100,"Ex2A"
"M20340668_JAG","JOL","Study1","F",2030,100,"Ex2A"
"M203425855","JOL","Study1","F",2637,100,"Ex2A"
"M20346478","JOL","Study1","F",2673,100,"Ex2A"
"M20346505_PC","JOL","Study1","F",2903,100,"Ex2A"
"M20348221MH","JOL","Study1","F",5732,100,"Ex2A"
"M20350230JMY","JOL","Study1","F",7845,100,"Ex2A"
"M20293288GM","JOL","Study1","M",3185,0,"Ex2A"
"M20301852CE","JOL","Study1","M",2110,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",4133,0,"Ex2A"
"M20338519CB","JOL","Study1","M",2493,0,"Ex2A"
"M20338998SM","JOL","Study1","M",4516,100,"Ex2A"
"M20339166AP","JOL","Study1","M",8799,0,"Ex2A"
"M20340668_JAG","JOL","Study1","M",2589,0,"Ex2A"
"M203425855","JOL","Study1","M",5389,0,"Ex2A"
"M20346478","JOL","Study1","M",5072,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",2946,0,"Ex2A"
"M20348221MH","JOL","Study1","M",4903,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",5003,0,"Ex2A"
"M20293288GM","JOL","Study1","M",3235,0,"Ex2A"
"M20301852CE","JOL","Study1","M",2208,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",3901,0,"Ex2A"
"M20338519CB","JOL","Study1","M",4676,0,"Ex2A"
"M20338998SM","JOL","Study1","M",7857,0,"Ex2A"
"M20339166AP","JOL","Study1","M",9211,0,"Ex2A"
"M20340668_JAG","JOL","Study1","M",8524,0,"Ex2A"
"M203425855","JOL","Study1","M",10228,0,"Ex2A"
"M20346478","JOL","Study1","M",9916,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",2660,100,"Ex2A"
"M20348221MH","JOL","Study1","M",5913,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",3016,0,"Ex2A"
"M20293288GM","JOL","Study1","U",5300,0,"Ex2A"
"M20301852CE","JOL","Study1","U",2119,0,"Ex2A"
"M20324226_AG","JOL","Study1","U",5270,0,"Ex2A"
"M20338519CB","JOL","Study1","U",3203,0,"Ex2A"
"M20338998SM","JOL","Study1","U",4939,100,"Ex2A"
"M20339166AP","JOL","Study1","U",13700,100,"Ex2A"
"M20340668_JAG","JOL","Study1","U",6788,0,"Ex2A"
"M203425855","JOL","Study1","U",10272,0,"Ex2A"
"M20346478","JOL","Study1","U",9872,0,"Ex2A"
"M20346505_PC","JOL","Study1","U",3372,0,"Ex2A"
"M20348221MH","JOL","Study1","U",4853,0,"Ex2A"
"M20350230JMY","JOL","Study1","U",8249,0,"Ex2A"
"M20293288GM","JOL","Study1","U",2288,0,"Ex2A"
"M20301852CE","JOL","Study1","U",5883,0,"Ex2A"
"M20324226_AG","JOL","Study1","U",3437,100,"Ex2A"
"M20338519CB","JOL","Study1","U",4585,100,"Ex2A"
"M20338998SM","JOL","Study1","U",6216,0,"Ex2A"
"M20339166AP","JOL","Study1","U",12248,100,"Ex2A"
"M20340668_JAG","JOL","Study1","U",8976,0,"Ex2A"
"M203425855","JOL","Study1","U",12454,0,"Ex2A"
"M20346478","JOL","Study1","U",8040,100,"Ex2A"
"M20346505_PC","JOL","Study1","U",2398,0,"Ex2A"
"M20348221MH","JOL","Study1","U",4663,0,"Ex2A"
"M20350230JMY","JOL","Study1","U",4542,100,"Ex2A"
"M20293288GM","JOL","Study1","M",3086,0,"Ex2A"
"M20301852CE","JOL","Study1","M",5670,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",3037,100,"Ex2A"
"M20338519CB","JOL","Study1","M",4683,100,"Ex2A"
"M20338998SM","JOL","Study1","M",7391,100,"Ex2A"
"M20339166AP","JOL","Study1","M",13395,100,"Ex2A"
"M20340668_JAG","JOL","Study1","M",7024,0,"Ex2A"
"M203425855","JOL","Study1","M",18613,0,"Ex2A"
"M20346478","JOL","Study1","M",2886,0,"Ex2A"
"M20346505_PC","JOL","Study1","M",3613,0,"Ex2A"
"M20348221MH","JOL","Study1","M",4807,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",5717,100,"Ex2A"
"M20293288GM","JOL","Study1","M",2562,0,"Ex2A"
"M20301852CE","JOL","Study1","M",6528,0,"Ex2A"
"M20324226_AG","JOL","Study1","M",3986,0,"Ex2A"
"M20338519CB","JOL","Study1","M",3521,0,"Ex2A"
"M20338998SM","JOL","Study1","M",62716,100,"Ex2A"
"M20339166AP","JOL","Study1","M",35645,0,"Ex2A"
"M20340668_JAG","JOL","Study1","M",3395,0,"Ex2A"
"M203425855","JOL","Study1","M",4685,0,"Ex2A"
"M20346478","JOL","Study1","M",7498,100,"Ex2A"
"M20346505_PC","JOL","Study1","M",2101,0,"Ex2A"
"M20348221MH","JOL","Study1","M",3885,0,"Ex2A"
"M20350230JMY","JOL","Study1","M",3378,0,"Ex2A"
"M20293288GM","JOL","Study1","F",3048,100,"Ex2A"
"M20301852CE","JOL","Study1","F",3046,100,"Ex2A"
"M20324226_AG","JOL","Study1","F",2841,100,"Ex2A"
"M20338519CB","JOL","Study1","F",3965,100,"Ex2A"
"M20338998SM","JOL","Study1","F",7241,100,"Ex2A"
"M20339166AP","JOL","Study1","F",7540,100,"Ex2A"
