Experiment,Pair_Type,d,n_1,n_2
1A,F,0.87,62,63
1A,SM,0.44,62,63
1A,U,0.05,62,63
1B,F,1.09,56,59
1B,BSM,0.56,56,59
1B,U,-0.18,56,59
2A,F,1.16,57,56
2A,DM,0.78,57,56
2A,U,0.35,57,56
2B,F,0.85,60,59
2B,BDM,0.36,60,59
2B,U,0.03,60,59
