"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"cooforah0923","","love","0",0,1,"Read","affection","Study1","F","Study Phase",6767,"Recall1"
"M20296583_KCB","","love","0",0,1,"Read","affection","Study1","F","Study Phase",1936,"Recall1"
"M20314646KFD","","love","0",0,1,"Read","affection","Study1","F","Study Phase",141,"Recall1"
"M20316040","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",2090,"Recall1"
"M20317201JN","","love","0",0,1,"Read","affection","Study1","F","Study Phase",980,"Recall1"
"M20317375_ESA","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",16134,"Recall1"
"M20317658_AD","love ","love","0.8",1,1,"Read","affection","Study1","F","Study Phase",1236,"Recall1"
"M20317671ajb","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",9416,"Recall1"
"M20317864_jrm","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",4534,"Recall1"
"m20317880_snh","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1175,"Recall1"
"M20319728_JLH","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",10098,"Recall1"
"M20320841JH","connection ","love","0.181818181818182",0,1,"Read","affection","Study1","F","Study Phase",1070,"Recall1"
"M20321883KO","","love","0",0,1,"Read","affection","Study1","F","Study Phase",1744,"Recall1"
"M20322775_CE","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",8402,"Recall1"
"M20331100_PM","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",2439,"Recall1"
"M20331541_WAG","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1858,"Recall1"
"M20335162","attention","love","0.222222222222222",0,1,"Read","affection","Study1","F","Study Phase",544,"Recall1"
"M20335930SH","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",3769,"Recall1"
"w10100791MF","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1068,"Recall1"
"cooforah0923","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",3379,"Recall1"
"M20296583_KCB","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",2011,"Recall1"
"M20314646KFD","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",107,"Recall1"
"M20316040","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",1468,"Recall1"
"M20317201JN","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",495,"Recall1"
"M20317375_ESA","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",19414,"Recall1"
"M20317658_AD","ball","bounce","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",1028,"Recall1"
"M20317671ajb","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",8744,"Recall1"
"M20317864_jrm","baseball","bounce","0.25",0,1,"Read","bat","Study1","M","Study Phase",232,"Recall1"
"m20317880_snh","blind","bounce","0.333333333333333",0,1,"Read","bat","Study1","M","Study Phase",1121,"Recall1"
"M20319728_JLH","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",4926,"Recall1"
"M20320841JH","man","bounce","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",1011,"Recall1"
"M20321883KO","crack","bounce","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",1677,"Recall1"
"M20322775_CE","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",1738,"Recall1"
"M20331100_PM","bounce","bounce","1",1,1,"Read","bat","Study1","M","Study Phase",7556,"Recall1"
"M20331541_WAG","ball","bounce","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",2723,"Recall1"
"M20335162","man","bounce","0.166666666666667",0,1,"Read","bat","Study1","M","Study Phase",333,"Recall1"
"M20335930SH","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",1196,"Recall1"
"w10100791MF","","bounce","0",0,1,"Read","bat","Study1","M","Study Phase",1901,"Recall1"
"cooforah0923","box","box","1",1,1,"Read","beach","Study1","M","Study Phase",3194,"Recall1"
"M20296583_KCB","water","box","0",0,1,"Read","beach","Study1","M","Study Phase",1964,"Recall1"
"M20314646KFD","","box","0",0,1,"Read","beach","Study1","M","Study Phase",976,"Recall1"
"M20316040","","box","0",0,1,"Read","beach","Study1","M","Study Phase",1337,"Recall1"
"M20317201JN","","box","0",0,1,"Read","beach","Study1","M","Study Phase",1165,"Recall1"
"M20317375_ESA","box","box","1",1,1,"Read","beach","Study1","M","Study Phase",3520,"Recall1"
"M20317658_AD","box ","box","0.75",1,1,"Read","beach","Study1","M","Study Phase",1021,"Recall1"
"M20317671ajb","box","box","1",1,1,"Read","beach","Study1","M","Study Phase",7082,"Recall1"
"M20317864_jrm","sand","box","0",0,1,"Read","beach","Study1","M","Study Phase",670,"Recall1"
"m20317880_snh","blue","box","0.25",0,1,"Read","beach","Study1","M","Study Phase",1104,"Recall1"
"M20319728_JLH","shell","box","0",0,1,"Read","beach","Study1","M","Study Phase",4684,"Recall1"
"M20320841JH","tan","box","0",0,1,"Read","beach","Study1","M","Study Phase",1005,"Recall1"
"M20321883KO","water","box","0",0,1,"Read","beach","Study1","M","Study Phase",1007,"Recall1"
"M20322775_CE","box","box","1",1,1,"Read","beach","Study1","M","Study Phase",3886,"Recall1"
"M20331100_PM","boz","box","0.666666666666667",0,1,"Read","beach","Study1","M","Study Phase",873,"Recall1"
"M20331541_WAG","","box","0",0,1,"Read","beach","Study1","M","Study Phase",3048,"Recall1"
"M20335162","day","box","0",0,1,"Read","beach","Study1","M","Study Phase",326,"Recall1"
"M20335930SH","box","box","1",1,1,"Read","beach","Study1","M","Study Phase",2606,"Recall1"
"w10100791MF","","box","0",0,1,"Read","beach","Study1","M","Study Phase",1508,"Recall1"
"cooforah0923","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",2518,"Recall1"
"M20296583_KCB","cake","pie","0.25",0,1,"Read","birthday","Study1","M","Study Phase",2356,"Recall1"
"M20314646KFD","","pie","0",0,1,"Read","birthday","Study1","M","Study Phase",116,"Recall1"
"M20316040","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",1576,"Recall1"
"M20317201JN","cake","pie","0.25",0,1,"Read","birthday","Study1","M","Study Phase",775,"Recall1"
"M20317375_ESA","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",3813,"Recall1"
"M20317658_AD","cake ","pie","0.2",0,1,"Read","birthday","Study1","M","Study Phase",1157,"Recall1"
"M20317671ajb","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",8398,"Recall1"
"M20317864_jrm","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",6633,"Recall1"
"m20317880_snh","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",1208,"Recall1"
"M20319728_JLH","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",4780,"Recall1"
"M20320841JH","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",1076,"Recall1"
"M20321883KO","cake","pie","0.25",0,1,"Read","birthday","Study1","M","Study Phase",1214,"Recall1"
"M20322775_CE","","pie","0",0,1,"Read","birthday","Study1","M","Study Phase",3061,"Recall1"
"M20331100_PM","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",8428,"Recall1"
"M20331541_WAG","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",6790,"Recall1"
"M20335162","year","pie","0.25",0,1,"Read","birthday","Study1","M","Study Phase",105,"Recall1"
"M20335930SH","","pie","0",0,1,"Read","birthday","Study1","M","Study Phase",1614,"Recall1"
"w10100791MF","pie","pie","1",1,1,"Read","birthday","Study1","M","Study Phase",1675,"Recall1"
"cooforah0923","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",1837,"Recall1"
"M20296583_KCB","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",1951,"Recall1"
"M20314646KFD","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",139,"Recall1"
"M20316040","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",1178,"Recall1"
"M20317201JN","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",982,"Recall1"
"M20317375_ESA","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",4946,"Recall1"
"M20317658_AD","birthday","hand","0.375",0,1,"Read","cake","Study1","U","Study Phase",1030,"Recall1"
"M20317671ajb","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",9799,"Recall1"
"M20317864_jrm","fork","hand","0",0,1,"Read","cake","Study1","U","Study Phase",6030,"Recall1"
"m20317880_snh","cream","hand","0.2",0,1,"Read","cake","Study1","U","Study Phase",978,"Recall1"
"M20319728_JLH","bake","hand","0.25",0,1,"Read","cake","Study1","U","Study Phase",5382,"Recall1"
"M20320841JH","bake","hand","0.25",0,1,"Read","cake","Study1","U","Study Phase",1849,"Recall1"
"M20321883KO","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",1396,"Recall1"
"M20322775_CE","pie","hand","0",0,1,"Read","cake","Study1","U","Study Phase",3372,"Recall1"
"M20331100_PM","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",6978,"Recall1"
"M20331541_WAG","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",5009,"Recall1"
"M20335162","cut","hand","0",0,1,"Read","cake","Study1","U","Study Phase",272,"Recall1"
"M20335930SH","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",852,"Recall1"
"w10100791MF","birthday","hand","0.375",0,1,"Read","cake","Study1","U","Study Phase",1313,"Recall1"
"cooforah0923","carpet","carpet","1",1,1,"Read","ceiling","Study1","M","Study Phase",3771,"Recall1"
"M20296583_KCB","floor ","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",1739,"Recall1"
"M20314646KFD","","carpet","0",0,1,"Read","ceiling","Study1","M","Study Phase",150,"Recall1"
"M20316040","roof","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",1264,"Recall1"
"M20317201JN","floor","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",1201,"Recall1"
"M20317375_ESA","carpet","carpet","1",1,1,"Read","ceiling","Study1","M","Study Phase",5996,"Recall1"
"M20317658_AD","carpet ","carpet","0.857142857142857",1,1,"Read","ceiling","Study1","M","Study Phase",1073,"Recall1"
"M20317671ajb","carpet","carpet","1",1,1,"Read","ceiling","Study1","M","Study Phase",9802,"Recall1"
"M20317864_jrm","light","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",902,"Recall1"
"m20317880_snh","wall","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",889,"Recall1"
"M20319728_JLH","carpet","carpet","1",1,1,"Read","ceiling","Study1","M","Study Phase",12649,"Recall1"
"M20320841JH","fan","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",1123,"Recall1"
"M20321883KO","","carpet","0",0,1,"Read","ceiling","Study1","M","Study Phase",1550,"Recall1"
"M20322775_CE","","carpet","0",0,1,"Read","ceiling","Study1","M","Study Phase",5840,"Recall1"
"M20331100_PM","carpet","carpet","1",1,1,"Read","ceiling","Study1","M","Study Phase",8028,"Recall1"
"M20331541_WAG","","carpet","0",0,1,"Read","ceiling","Study1","M","Study Phase",3236,"Recall1"
"M20335162","card","carpet","0.5",0,1,"Read","ceiling","Study1","M","Study Phase",180,"Recall1"
"M20335930SH","floor","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",2701,"Recall1"
"w10100791MF","floor","carpet","0.166666666666667",0,1,"Read","ceiling","Study1","M","Study Phase",1334,"Recall1"
"cooforah0923","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",2928,"Recall1"
"M20296583_KCB","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",1814,"Recall1"
"M20314646KFD","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",147,"Recall1"
"M20316040","round","dance","0.4",0,1,"Read","circle","Study1","M","Study Phase",1178,"Recall1"
"M20317201JN","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",1307,"Recall1"
"M20317375_ESA","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",3473,"Recall1"
"M20317658_AD","shape ","dance","0.333333333333333",0,1,"Read","circle","Study1","M","Study Phase",1141,"Recall1"
"M20317671ajb","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",9601,"Recall1"
"M20317864_jrm","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",3368,"Recall1"
"m20317880_snh","pen","dance","0.4",0,1,"Read","circle","Study1","M","Study Phase",2397,"Recall1"
"M20319728_JLH","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",5246,"Recall1"
"M20320841JH","small","dance","0.2",0,1,"Read","circle","Study1","M","Study Phase",1304,"Recall1"
"M20321883KO","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",900,"Recall1"
"M20322775_CE","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",3308,"Recall1"
"M20331100_PM","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",6740,"Recall1"
"M20331541_WAG","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",1423,"Recall1"
"M20335162","triangle","dance","0.375",0,1,"Read","circle","Study1","M","Study Phase",632,"Recall1"
"M20335930SH","","dance","0",0,1,"Read","circle","Study1","M","Study Phase",3844,"Recall1"
"w10100791MF","dance","dance","1",1,1,"Read","circle","Study1","M","Study Phase",1148,"Recall1"
"cooforah0923","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase",4637,"Recall1"
"M20296583_KCB","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase",2465,"Recall1"
"M20314646KFD","","election","0",0,1,"Read","crackle","Study1","U","Study Phase",315,"Recall1"
"M20316040","pop","election","0.125",0,1,"Read","crackle","Study1","U","Study Phase",1221,"Recall1"
