"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1"
"20319692CL","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3212,36,"Recall1"
"M20277369_edm","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",6202,78,"Recall1"
"M20288446A.T","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3695,100,"Recall1"
"M20300061AA","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2647,90,"Recall1"
"M20310057","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",6943,80,"Recall1"
"M20317488_EBS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2296,53,"Recall1"
"M20317869CDT","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3281,80,"Recall1"
"M20319488_IDH","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",4927,65,"Recall1"
"M20322318","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",3537,70,"Recall1"
"M20330812","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",7873,100,"Recall1"
"M20331863_TL","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",4782,34,"Recall1"
"M20332017!DJ","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2441,80,"Recall1"
"M20333447_MHT","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",7685,40,"Recall1"
"M20333764_CG","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",6060,90,"Recall1"
"M20335355MK","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3945,100,"Recall1"
"M20336507_mmh","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",679,6,"Recall1"
"M20338115","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",7862,83,"Recall1"
"M20342696ED","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",64388,84,"Recall1"
"M20344322","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",6656,70,"Recall1"
"M2O324775JER","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",3436,85,"Recall1"
"20319692CL","dark","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",2149,0,"Recall1"
"M20277369_edm","swing","bounce","0.166666666666667",0,2,"JOL","bat","Study1","M","Study Phase",3345,76,"Recall1"
"M20288446A.T","fly","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",4439,0,"Recall1"
"M20300061AA","","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",3236,85,"Recall1"
"M20310057","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",8615,70,"Recall1"
"M20317488_EBS","baseball","bounce","0.25",0,2,"JOL","bat","Study1","M","Study Phase",35391,65,"Recall1"
"M20317869CDT","swim","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",3482,0,"Recall1"
"M20319488_IDH","cave","bounce","0.333333333333333",0,2,"JOL","bat","Study1","M","Study Phase",9437,37,"Recall1"
"M20322318","","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",2758,10,"Recall1"
"M20330812","ball","bounce","0.166666666666667",0,2,"JOL","bat","Study1","M","Study Phase",1694,100,"Recall1"
"M20331863_TL","","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",2794,60,"Recall1"
"M20332017!DJ","catch","bounce","0.166666666666667",0,2,"JOL","bat","Study1","M","Study Phase",33655,20,"Recall1"
"M20333447_MHT","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",4619,80,"Recall1"
"M20333764_CG","pitcher","bounce","0.285714285714286",0,2,"JOL","bat","Study1","M","Study Phase",6653,20,"Recall1"
"M20335355MK","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",4907,28,"Recall1"
"M20336507_mmh","shaky","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",2297,20,"Recall1"
"M20338115","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",6409,56,"Recall1"
"M20342696ED","","bounce","0",0,2,"JOL","bat","Study1","M","Study Phase",6070,35,"Recall1"
"M20344322","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",7727,50,"Recall1"
"M2O324775JER","bounce","bounce","1",1,2,"JOL","bat","Study1","M","Study Phase",2047,80,"Recall1"
"20319692CL","grass","box","0",0,2,"JOL","beach","Study1","M","Study Phase",2815,12,"Recall1"
"M20277369_edm","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",3288,43,"Recall1"
"M20288446A.T","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",3021,20,"Recall1"
"M20300061AA","","box","0",0,2,"JOL","beach","Study1","M","Study Phase",2912,1,"Recall1"
"M20310057","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",11559,75,"Recall1"
"M20317488_EBS","band","box","0.25",0,2,"JOL","beach","Study1","M","Study Phase",2392,14,"Recall1"
"M20317869CDT","sand","box","0",0,2,"JOL","beach","Study1","M","Study Phase",2803,10,"Recall1"
"M20319488_IDH","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",6304,17,"Recall1"
"M20322318","","box","0",0,2,"JOL","beach","Study1","M","Study Phase",1728,20,"Recall1"
"M20330812","seashells","box","0",0,2,"JOL","beach","Study1","M","Study Phase",11758,100,"Recall1"
"M20331863_TL","","box","0",0,2,"JOL","beach","Study1","M","Study Phase",2648,23,"Recall1"
"M20332017!DJ","sand","box","0",0,2,"JOL","beach","Study1","M","Study Phase",683,30,"Recall1"
"M20333447_MHT","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",2516,0,"Recall1"
"M20333764_CG","ball","box","0.25",0,2,"JOL","beach","Study1","M","Study Phase",7259,15,"Recall1"
"M20335355MK","sand","box","0",0,2,"JOL","beach","Study1","M","Study Phase",5016,30,"Recall1"
"M20336507_mmh","wave","box","0",0,2,"JOL","beach","Study1","M","Study Phase",1505,10,"Recall1"
"M20338115","lake","box","0",0,2,"JOL","beach","Study1","M","Study Phase",6802,45,"Recall1"
"M20342696ED","ball","box","0.25",0,2,"JOL","beach","Study1","M","Study Phase",3202,45,"Recall1"
"M20344322","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",9404,100,"Recall1"
"M2O324775JER","box","box","1",1,2,"JOL","beach","Study1","M","Study Phase",3987,75,"Recall1"
