"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1"
"10111256JA","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",9168,80,"Recall1"
"w10042447_keo","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2088,89,"Recall1"
"w10129023_aft","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2587,80,"Recall1"
"w10132704","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",4677,60,"Recall1"
"w10139977_abt","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",13618,90,"Recall1"
"w10140071lj","","love","0",0,2,"JOL","AFFECTION","Study1","F","Study Phase",2619,100,"Recall1"
"w10140542KB","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2799,30,"Recall1"
"w10142718_ec","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2081,100,"Recall1"
"w10153807_MLP","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",6647,64,"Recall1"
"w10157774HB","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2973,45,"Recall1"
"w10164530_bam","","love","0",0,2,"JOL","AFFECTION","Study1","F","Study Phase",274,0,"Recall1"
"W10172829OA","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",3990,50,"Recall1"
"w10172909kbk","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",2845,99,"Recall1"
"W10174596_jw","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",3809,100,"Recall1"
"w985404_djb","love","love","1",1,2,"JOL","AFFECTION","Study1","F","Study Phase",3419,100,"Recall1"
"10111256JA","swing","bounce","0.166666666666667",0,2,"JOL","BAT","Study1","M","Study Phase",3108,40,"Recall1"
"w10042447_keo","bird","bounce","0.166666666666667",0,2,"JOL","BAT","Study1","M","Study Phase",2298,20,"Recall1"
"w10129023_aft","boom","bounce","0.333333333333333",0,2,"JOL","BAT","Study1","M","Study Phase",3935,10,"Recall1"
"w10132704","","bounce","0",0,2,"JOL","BAT","Study1","M","Study Phase",2512,20,"Recall1"
"w10139977_abt","ball","bounce","0.166666666666667",0,2,"JOL","BAT","Study1","M","Study Phase",7656,50,"Recall1"
"w10140071lj","","bounce","0",0,2,"JOL","BAT","Study1","M","Study Phase",3472,18,"Recall1"
"w10140542KB","echo","bounce","0.5",0,2,"JOL","BAT","Study1","M","Study Phase",2330,0,"Recall1"
"w10142718_ec","bounce","bounce","1",1,2,"JOL","BAT","Study1","M","Study Phase",4646,25,"Recall1"
"w10153807_MLP","mobile","bounce","0.5",0,2,"JOL","BAT","Study1","M","Study Phase",4413,56,"Recall1"
"w10157774HB","ball","bounce","0.166666666666667",0,2,"JOL","BAT","Study1","M","Study Phase",4602,3,"Recall1"
"w10164530_bam","","bounce","0",0,2,"JOL","BAT","Study1","M","Study Phase",303,0,"Recall1"
"W10172829OA","bounce","bounce","1",1,2,"JOL","BAT","Study1","M","Study Phase",3319,10,"Recall1"
"w10172909kbk","bird","bounce","0.166666666666667",0,2,"JOL","BAT","Study1","M","Study Phase",60791,70,"Recall1"
"W10174596_jw","bounce","bounce","1",1,2,"JOL","BAT","Study1","M","Study Phase",4633,19,"Recall1"
"w985404_djb","grass","bounce","0",0,2,"JOL","BAT","Study1","M","Study Phase",9984,55,"Recall1"
"10111256JA","","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",1967,50,"Recall1"
"w10042447_keo","water","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",3057,30,"Recall1"
"w10129023_aft","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",4986,90,"Recall1"
"w10132704","","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",3293,35,"Recall1"
"w10139977_abt","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",5006,25,"Recall1"
"w10140071lj","","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",1292,33,"Recall1"
"w10140542KB","sand","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",2174,0,"Recall1"
"w10142718_ec","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",1720,5,"Recall1"
"w10153807_MLP","bath","box","0.25",0,2,"JOL","BEACH","Study1","M","Study Phase",3350,9,"Recall1"
"w10157774HB","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",2534,34,"Recall1"
"w10164530_bam","beach","box","0.2",0,2,"JOL","BEACH","Study1","M","Study Phase",178,0,"Recall1"
"W10172829OA","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",4087,20,"Recall1"
"w10172909kbk","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",5890,90,"Recall1"
"W10174596_jw","box","box","1",1,2,"JOL","BEACH","Study1","M","Study Phase",5386,89,"Recall1"
"w985404_djb","sun","box","0",0,2,"JOL","BEACH","Study1","M","Study Phase",2259,70,"Recall1"
"10111256JA","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",2270,60,"Recall1"
"w10042447_keo","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",2980,59,"Recall1"
"w10129023_aft","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",4638,35,"Recall1"
"w10132704","hand","pie","0",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",7246,58,"Recall1"
"w10139977_abt","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",4017,35,"Recall1"
"w10140071lj","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",1583,33,"Recall1"
"w10140542KB","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",2246,10,"Recall1"
"w10142718_ec","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",3522,15,"Recall1"
"w10153807_MLP","hand","pie","0",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",8657,1,"Recall1"
"w10157774HB","cake","pie","0.25",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",1824,23,"Recall1"
"w10164530_bam","","pie","0",0,2,"JOL","BIRTHDAY","Study1","M","Study Phase",212,NA,"Recall1"
"W10172829OA","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",3716,70,"Recall1"
"w10172909kbk","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",5265,80,"Recall1"
"W10174596_jw","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",4356,55,"Recall1"
"w985404_djb","pie","pie","1",1,2,"JOL","BIRTHDAY","Study1","M","Study Phase",4582,67,"Recall1"
"10111256JA","ball","hand","0.25",0,2,"JOL","CAKE","Study1","U","Study Phase",1561,30,"Recall1"
"w10042447_keo","election","hand","0.125",0,2,"JOL","CAKE","Study1","U","Study Phase",3559,20,"Recall1"
"w10129023_aft","hand","hand","1",1,2,"JOL","CAKE","Study1","U","Study Phase",3668,5,"Recall1"
"w10132704","","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",2197,2,"Recall1"
"w10139977_abt","birthday","hand","0.375",0,2,"JOL","CAKE","Study1","U","Study Phase",6590,0,"Recall1"
"w10140071lj","","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",1136,33,"Recall1"
"w10140542KB","birthday","hand","0.375",0,2,"JOL","CAKE","Study1","U","Study Phase",1825,0,"Recall1"
"w10142718_ec","birthday","hand","0.375",0,2,"JOL","CAKE","Study1","U","Study Phase",1663,5,"Recall1"
"w10153807_MLP","hand","hand","1",1,2,"JOL","CAKE","Study1","U","Study Phase",5974,7,"Recall1"
"w10157774HB","birthday","hand","0.375",0,2,"JOL","CAKE","Study1","U","Study Phase",3237,12,"Recall1"
"w10164530_bam","","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",206,0,"Recall1"
"W10172829OA","","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",4463,10,"Recall1"
"w10172909kbk","","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",10524,100,"Recall1"
"W10174596_jw","hand","hand","1",1,2,"JOL","CAKE","Study1","U","Study Phase",4924,34,"Recall1"
"w985404_djb","pie","hand","0",0,2,"JOL","CAKE","Study1","U","Study Phase",1864,77,"Recall1"
"10111256JA","fan","carpet","0.166666666666667",0,2,"JOL","CEILING","Study1","M","Study Phase",1394,40,"Recall1"
"w10042447_keo","wall","carpet","0.166666666666667",0,2,"JOL","CEILING","Study1","M","Study Phase",12562,15,"Recall1"
"w10129023_aft","floor","carpet","0.166666666666667",0,2,"JOL","CEILING","Study1","M","Study Phase",5832,75,"Recall1"
"w10132704","","carpet","0",0,2,"JOL","CEILING","Study1","M","Study Phase",2157,0,"Recall1"
"w10139977_abt","floor","carpet","0.166666666666667",0,2,"JOL","CEILING","Study1","M","Study Phase",3589,10,"Recall1"
"w10140071lj","","carpet","0",0,2,"JOL","CEILING","Study1","M","Study Phase",2203,33,"Recall1"
"w10140542KB","carpet","carpet","1",1,2,"JOL","CEILING","Study1","M","Study Phase",2173,0,"Recall1"
"w10142718_ec","fan","carpet","0.166666666666667",0,2,"JOL","CEILING","Study1","M","Study Phase",2851,5,"Recall1"
