"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1","source"
"w10105916RH","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3777,98,"Recall1","USM"
"W10124500_SDS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",5232,90,"Recall1","USM"
"W10128822_AA","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",3068,100,"Recall1","USM"
"W10166746_RMM","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",1900,100,"Recall1","USM"
"w10172988MB","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2854,100,"Recall1","USM"
"w10173365AS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",1680,34,"Recall1","USM"
"w10175813","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",5443,90,"Recall1","USM"
"w10176082_ceb","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",2705,45,"Recall1","USM"
"w10181376RJC","hug","love","0",0,2,"JOL","affection","Study1","F","Study Phase",3973,50,"Recall1","USM"
"w10183316AF","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3362,50,"Recall1","USM"
"w10184915_KP","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",3461,100,"Recall1","USM"
"w10184950DT","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",11381,83,"Recall1","USM"
"w10197529maa","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",6427,100,"Recall1","USM"
"W381760NE","","love","0",0,2,"JOL","affection","Study1","F","Study Phase",3120,80,"Recall1","USM"
"w10105916RH","birthday","birthday","1",1,2,"JOL","apple","Study1","M","Study Phase",2829,30,"Recall1","USM"
"W10124500_SDS","birthday","birthday","1",1,2,"JOL","apple","Study1","M","Study Phase",4423,35,"Recall1","USM"
"W10128822_AA","","birthday","0",0,2,"JOL","apple","Study1","M","Study Phase",6308,60,"Recall1","USM"
"W10166746_RMM","pie","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",8159,75,"Recall1","USM"
"w10172988MB","fruit","birthday","0.375",0,2,"JOL","apple","Study1","M","Study Phase",1260,0,"Recall1","USM"
"w10173365AS","fruit","birthday","0.375",0,2,"JOL","apple","Study1","M","Study Phase",2927,32,"Recall1","USM"
"w10175813","seed","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",1651,0,"Recall1","USM"
"w10176082_ceb","sauce","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",6023,20,"Recall1","USM"
"w10181376RJC","cake","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",2566,25,"Recall1","USM"
"w10183316AF","box","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",6338,30,"Recall1","USM"
"w10184915_KP","phone","birthday","0.125",0,2,"JOL","apple","Study1","M","Study Phase",6187,5,"Recall1","USM"
"w10184950DT","birthday","birthday","1",1,2,"JOL","apple","Study1","M","Study Phase",12619,43,"Recall1","USM"
"w10197529maa","tree","birthday","0.25",0,2,"JOL","apple","Study1","M","Study Phase",7153,0,"Recall1","USM"
"W381760NE","","birthday","0",0,2,"JOL","apple","Study1","M","Study Phase",3100,1,"Recall1","USM"
"w10105916RH","hard","hard","1",1,2,"JOL","ball","Study1","M","Study Phase",3539,1,"Recall1","USM"
"W10124500_SDS","jump","hard","0",0,2,"JOL","ball","Study1","M","Study Phase",4381,85,"Recall1","USM"
"W10128822_AA","","hard","0",0,2,"JOL","ball","Study1","M","Study Phase",2916,20,"Recall1","USM"
"W10166746_RMM","hard","hard","1",1,2,"JOL","ball","Study1","M","Study Phase",3887,80,"Recall1","USM"
"w10172988MB","hard","hard","1",1,2,"JOL","ball","Study1","M","Study Phase",2699,0,"Recall1","USM"
"w10173365AS","room","hard","0.25",0,2,"JOL","ball","Study1","M","Study Phase",2000,45,"Recall1","USM"
